id,T,P,E,W,S,F,C
566,0,2,1,1,1,r,0
567,2,1,1,1,2,r,1
568,0,2,2,1,2,t,0
569,0,0,3,1,1,d,0
570,0,1,1,1,1,p,0
571,0,2,1,2,2,r,0
572,0,1,1,1,2,r,0
573,0,2,1,2,3,n,0
574,0,0,1,1,1,t,0
575,0,0,1,1,1,t,0
576,0,0,1,1,1,c,0
577,0,0,3,2,2,r,0
578,0,0,2,1,1,o,0
579,0,0,2,1,1,c,0
580,0,1,2,2,2,t,0
581,0,1,2,2,3,t,0
582,0,0,1,1,1,c,0
583,0,2,3,1,2,r,1
584,0,0,3,2,2,t,0
585,0,0,1,1,1,c,0
586,0,0,2,1,1,t,0
587,0,0,2,2,2,r,0
588,0,1,2,2,2,r,0
589,0,1,1,2,2,o,0
590,0,2,2,3,3,r,0
591,0,1,2,3,3,t,0
592,0,0,2,1,1,c,0
593,0,0,1,1,1,c,0
594,0,0,3,1,1,d,0
595,0,0,3,1,1,t,0
596,0,0,1,1,1,t,0
597,0,0,1,1,1,c,0
598,0,0,3,1,1,c,0
599,0,0,2,1,1,d,0
600,0,0,1,1,1,t,0
