id,T,P,E,W,S,F,C
189,0,0,2,2,1,t,0
190,0,2,2,2,2,t,0
191,0,2,2,3,3,n,0
192,0,0,2,2,2,p,0
193,0,2,2,1,1,t,0
194,0,0,2,3,3,t,0
195,0,1,1,1,2,r,0
196,0,0,1,1,1,c,0
197,0,0,2,1,1,t,0
198,0,1,2,2,2,r,0
199,0,0,2,1,1,t,0
200,0,0,2,1,1,h,0
201,0,0,3,2,2,t,1
202,0,0,2,2,3,t,0
203,0,0,1,2,2,t,0
204,0,0,2,1,2,t,0
205,0,0,3,1,1,d,1
206,0,0,2,2,2,t,0
207,0,0,2,1,2,h,0
208,0,0,2,2,2,t,0
209,0,0,3,1,1,d,0
210,1,0,2,2,2,o,0
211,0,2,2,1,2,t,0
212,0,0,2,1,2,t,0
213,0,0,3,1,1,d,0
214,0,2,1,1,2,r,0
215,0,0,1,1,1,p,0
216,0,0,1,1,2,p,0
217,0,0,2,1,1,d,0
218,0,1,1,1,1,t,0
219,0,2,1,1,1,t,0
220,0,2,1,1,2,r,0
221,0,0,1,1,1,p,0
222,0,2,2,1,2,t,0
223,0,0,2,1,1,d,0
224,0,0,2,2,2,t,0
225,0,0,1,1,1,p,0
226,0,0,2,1,1,d,0
227,0,1,2,2,2,t,0
228,0,2,2,1,1,p,0
229,0,2,2,2,2,r,0
230,0,1,2,2,1,t,0
231,0,2,2,1,1,d,0
232,0,0,2,1,1,d,0
233,0,0,1,1,1,c,0
234,0,1,2,2,2,t,0
235,0,2,2,3,3,r,0
236,0,0,2,1,1,t,0
237,0,0,3,2,3,t,0
238,0,0,3,1,1,d,0
239,0,0,2,2,2,t,0
240,0,0,1,1,1,t,0
241,0,0,2,1,1,c,0
242,0,1,2,1,1,h,0
243,0,0,2,2,2,t,0
244,0,0,2,1,1,c,0
245,0,2,2,2,2,r,0
246,0,0,1,1,1,d,0
247,0,2,2,3,3,r,0
248,0,0,2,1,1,d,0
249,0,1,2,1,1,d,0
250,0,0,2,1,1,d,0
251,0,0,2,1,1,d,0
252,0,2,2,2,1,p,0
253,0,0,2,1,1,t,0
254,0,0,2,1,1,h,0
255,0,0,1,1,1,n,0
256,0,0,1,1,1,t,0
257,0,0,2,1,1,d,0
258,0,0,1,1,1,p,0
259,0,0,2,1,1,p,0
260,0,1,1,1,1,d,0
261,0,1,1,1,1,r,0
262,0,0,2,1,1,d,0
263,0,2,2,1,1,t,0
264,0,0,2,2,2,t,0
265,0,1,3,3,3,r,0
266,0,0,2,1,1,d,0
267,0,0,2,1,2,t,0
268,0,0,3,1,1,d,0
269,0,1,2,2,2,r,0
270,0,0,3,1,1,d,1
271,0,0,3,1,1,d,0
272,0,0,2,1,1,d,0
273,0,0,1,1,1,t,0
274,0,0,2,1,1,d,0
275,0,0,3,1,1,d,0
276,0,0,3,2,1,d,0
277,0,0,2,1,1,t,0
278,0,0,2,1,1,t,0
279,0,0,2,1,1,h,0
280,1,0,2,1,2,t,0
281,0,0,2,2,2,d,0
282,0,1,2,2,2,r,0
283,0,0,2,2,1,t,0
284,0,0,3,1,1,d,0
285,0,0,2,1,1,p,0
286,0,0,2,1,1,h,0
287,0,0,2,1,1,d,0
288,0,2,2,1,1,t,0
289,0,0,3,1,1,d,0
290,0,0,2,1,1,c,0
291,0,1,2,2,2,h,0
292,0,0,3,1,1,d,0
293,0,0,2,1,2,d,0
294,0,0,2,2,2,t,0
295,0,0,2,2,1,t,0
296,0,0,2,1,1,h,0
297,0,0,2,2,2,t,0
298,0,0,2,2,2,t,0
299,0,0,3,2,2,h,0
300,0,1,2,1,1,h,0
