질문 ID,질문 문구,관심사 코드,관심사,레벨,상태,현재 Revision,현재 Revision 적용 시각,현재 Revision 노출,현재 Revision 답변,현재 Revision 답변율(%),현재 Revision 교체,현재 Revision 교체율(%),현재 Revision 미응답,전체 Revision 노출,전체 Revision 답변,전체 Revision 답변율(%),전체 Revision 교체,전체 Revision 미응답
191,"나를 가장 힘들게 했던 인연은 누구였나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
192,"사람들에게 듣고 싶은 진심 어린 말은 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
354,"오늘 하루 감정 그래프를 그리면 어떤 모양일까요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
412,"고마운 마음을 잘 표현하는 편인가요? ","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
434,"아침이나 저녁, 평소와 달랐던 순간은 언제였나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
450,"집중이 안 될 때 나를 다시 잡아주는 나만의 방법이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
453,"쉬고 있는데도 불안했던 적이 있다면, 그 불안은 어디에서 오는 걸까요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
536,"이번 주, 소중한 사람과 함께한 기억을 한 줄로 적어볼까요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
728,"나쁜 연애를 지속하는 삶과 평생 혼자 지내는 삶 중, 어떤 쪽이 더 낫다고 생각하시나요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
21,"남들은 모르지만 혼자 발견한 풍경이 있다면, 어떤 풍경인가요?","PREFERENCE","취향",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
114,"하루 중 온전히 나만을 위해 쓰는 시간은 얼마나 되나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
117,"새로운 루틴을 만들 때 가장 힘든 점은 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
121,"주말에 꼭 하는 일은 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
132,"중요한 일을 앞두고 지키는 징크스 같은 행동이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
141,"지금의 습관이 10년 뒤 나를 어디로 데려갈까요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
150,"오늘 하루를 기록한다면 어떤 제목을 붙이고 싶나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
155,"최근 누군가에게 받은 기분 좋은 문자는 무엇인가요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
157,"길에서 우연히 만나면 반가울 사람은 누구인가요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
183,"다투면 먼저 사과하는 편인가요? 사과할 때 나만의 방식이 있나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
212,"좋아하는 사람에게 제일 먼저 보여주고 싶은 내 모습은 뭘까요?","LOVE","사랑",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
214,"첫눈에 반한 적이 있다면, 어떤 느낌이었나요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
223,"사랑과 우정의 경계선은 어디라고 생각하나요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
289,"내가 가장 중요하게 생각하는 옮고 그름의 기준은 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
299,"인생의 마지막 날, 되돌아본다면 나에게 어떤 말을 할까요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
382,"가장 힘들었던 경험은 무엇이었나요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
388,"내 삶에서 가장 들키기 싫은 건 무엇인가요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
389,"감정을 숨기기 어려워하는 편인가요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
400,"혼자 울 때와 누군가 앞에서 울 때가 다른가요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
405,"걱정이 많은 편인가요? 요즘 가장 큰 걱정은 뭔가요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
435,"오늘 정리한 나의 생활이나 마음은 무엇이었나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
465,"운동 전에 꼭 하는 루틴이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
483,"꿈을 기록해본 적이 있다면, 어떤 경험이었나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
487,"가장 귀찮은 루틴은 무엇인가요?","ROUTINE","루틴",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
495,"오래된 관계와 새로운 관계 중 어디에 더 힘을 쓰나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
515,"최근에 가장 기분 좋게 이야기를 나눈 사람은 누구인가요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
520,"나는 사람들에게 마음을 얼마나 열어두고 있나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
529,"상대의 감정을 예민하게 읽어낸 순간이 있었나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
548,"아버지와의 관계에 대해 어떻게 생각하나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
588,"과거의 나에게 '괜찮아, 그럴 수 있어'라고 말해주고 싶은 순간이 있나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
594,"성공은 어떤 의미인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
595,"꿈과 현실의 균형을 어떻게 맞추고 있나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
607,"어떤 순간에 나를 더 안아주고 싶어지나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
608,"채워지지 않는 결핍이 있다면 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
635,"지금 당장 감사하다고 말하고 싶은 단 한 가지는 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
640,"나의 생각과 삶의 태도에 가장 큰 변화를 준 사람은 누구인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
713,"널리 얕게 사랑받는 것과 미움받아도 깊은 관계 하나 중 뭐가 더 소중한가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
715,"권위형 리더와 솔선수범형 리더 중 어느 쪽에 더 가깝나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
716,"남의 운명을 좌우하는 것과 내 삶을 내 뜻대로 하는 것 중 뭐가 더 좋나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
732,"돈 많고 성격 나쁜 사람과 가난해도 착한 사람 중 누가 더 끌리나요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
826,"아픈 진실을 말하는 것과 자비로운 거짓말을 하는 것 중 뭐가 더 옳은가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
841,"거짓말을 알아채는 능력과 들키지 않는 능력 중 뭐가 더 탐나나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
842,"꿈꾸던 일과 진정한 사랑 중 뭐가 더 이루고 싶나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
843,"평범한 사람들 틈에서 돋보이는 삶과 천재들 틈에서 평범한 삶 중 뭐가 더 끌리나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
863,"완전히 이해받는 것과 있는 그대로라도 받아들여지는 것 중 뭐가 더 필요한가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",2,0,0.0,2,100.0,0,2,0,0.0,2,0
74,"최근에 느낀 감정 중 이름 붙이기 힘든 게 있었다면, 어떤 느낌이었나요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
100,"내 인생을 감정 한 줄로 요약하면 뭘까요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
120,"주말과 평일의 루틴 중 가장 큰 차이점은 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
130,"정리 정돈을 할 때 가장 먼저 하는 일은 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
133,"계절이 바뀔 때 집 안에서 바꾸는 게 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
140,"중요한 약속 전날 꼭 하는 준비가 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
145,"나에게 '규칙적인 하루'란 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
149,"일상을 꾸려간다는 게 나에게 어떤 의미인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
159,"요즘 새로 알게 된 사람 중 호감이 가는 사람이 있다면, 어떤 점이 끌리나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
162,"처음 만난 사람과 어색함을 풀기 위해 주로 어떤 말을 하나요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
175,"나를 힘들게 하는 사람과 거리를 두는 방법이 있다면, 어떤 건가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
178,"나를 성장하게 한 인연이 있다면 누구인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
186,"나를 믿어주는 사람들의 공통점은 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
193,"누군가에게 배운 삶의 자세가 있다면 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
198,"진심이 통했다고 느꼈던 특별한 순간은 언제인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
199,"나를 진심으로 아껴주는 사람들의 행동은 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
204,"사람들과 헤어지고 집에 가는 길에 드는 생각은 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
209,"사람 사이의 진심은 언제 확인된다고 생각하나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
216,"좋아하는 사람의 외모에서 끌리는 포인트는 무엇인가요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
231,"나만의 독특한 연애관이 있다면 무엇인가요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
243,"사랑에 빠졌을 때 가장 두려운 건 뭘까요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
247,"사랑하는 사람에게 끝내 하지 못한 말이 있다면, 어떤 말인가요?","LOVE","사랑",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
257,"내가 생각하는 '부자'의 기준은 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
268,"나에게 '시간'은 어떤 의미인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
280,"요즘 나의 일상 균형은 잘 맞고 있나요? 어느 쪽으로 기울어져 있나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
281,"나에게 '가족'이란 어떤 존재인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
285,"돈으로 살 수 없는 것 중 가장 아끼는 건 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
294,"억울한 일을 당했을 때 나는 어떻게 대처하나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
336,"오늘 내 복잡한 마음을 잠시 쉬게 해준 건 무엇이었나요?","PREFERENCE","취향",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
421,"지하철이나 버스에서 주로 무엇을 하며 시간을 보내나요?","ROUTINE","루틴",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
425,"오늘 아무 생각 없이 기계적으로 반복한 행동은 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
428,"계속 미루고 있는 일 하나를 지금 꺼낸다면 무엇인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
430,"오늘 조금 과하다 싶었던 나의 행동은 무엇이었나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
449,"타이머나 시간 관리 도구를 쓰나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
454,"잘하고 싶은 마음 vs 해야 하는 마음, 뭐가 더 크나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
461,"누군가 내 방에 오면 신경 쓰이나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
470,"운동 목표가 있다면, 어떤 목표인가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
476,"소비 습관 중 바꾸고 싶은 게 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
480,"10년 후 나의 경제적 모습은 어떨 것 같나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
481,"지금 구독하고 있는 서비스는 무엇이 있나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
485,"밤에 갑자기 마음이 무거워진 적이 있다면, 어떤 생각이 찾아왔나요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
488,"이불 속에서 눈을 감으면 가장 먼저 떠오르는 생각은 뭔가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
489,"생각할 틈도 없이 자동으로 나오는 나만의 반응이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
494,"친한 친구가 큰 잘못을 하고 숨겨달라고 하면 어떻게 할 것 같나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
497,"관계에서 주고받는 것의 균형을 중요하게 생각하나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
503,"관계가 자연스럽게 멀어질 때 어떻게 행동하나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
508,"오래 알았는데 멀어진 사람이 있다면, 어떤 사이였나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
513,"외로움이 무서워서 관계를 유지한 적이 있다면, 어떤 관계였나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
523,"사람들과 이야기할 때 나는 사실 무엇을 원하나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
525,"오늘 누군가에게 미안한 마음이 가볍게 스쳤나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
531,"오늘 내가 누군가를 소리 내어 웃게 만들었나요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
535,"지금 이 순간, 문득 생각나서 연락하고 싶은 사람은 누구인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
543,"주변 사람을 덕질해 본 적이 있다면, 누구였나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
551,"친한 친구가 된다면 그 사람이 알아야 할 중요한 사항은 무엇인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
552,"어린 시절이 행복했다고 느끼나요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
578,"나에게 좀 더 다정해지고 싶은 순간이 있나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
581,"내가 틀렸다는 걸 인정하기 어려운 주제가 있다면 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
582,"내 한계를 인정하는 게 쉬운가요, 어려운가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
591,"잊고 싶은 기억이 있다면, 어떤 종류의 기억인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
613,"예전엔 중요했는데 지금은 중요하지 않은 것이 있다면 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
618,"예전보다 조심스러워진 부분이 있다면, 어떤 건가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
619,"확신이 무너졌던 경험이 있다면, 어떤 일이었나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
622,"요즘 내 인생에서 과감히 덜어내기로 한 것은 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",1,0,0.0,1,100.0,0,1,0,0.0,1,0
