우선순위,id,q,cat,exp,ans,rep,사후 답변율,P(평균 미만),수정 후 예측,예상 노출(월),기대 추가 답변(월)
17,56,오늘 나를 기운 나게 한 말은 무엇인가요?,감정,5,1,4,0.32485097984811045,0.9734782009016615,0.521933690492611,5.0,0.8909579518213264
18,358,"오늘 내 마음이 회색빛처럼 흐릿했던 때가 있다면, 어떤 순간이었나요?",감정,0,0,0,0.22532534987508013,0.9965666359304687,0.4742603754212106,3.9153846153846152,0.8812499673858645
19,315,"나만의 공부 스타일이 있다면, 어떤 건가요?",취향,8,2,6,0.347973194545521,0.9773128570701697,0.46148689373713436,8.0,0.8210638678933282
20,355,오늘 감정을 억누르기 힘든 순간이 있었나요?,감정,3,1,2,0.30718731577321706,0.9787412006749029,0.6067893912829766,3.0,0.8126522636653486
21,63,"내일 일어날 일 중 설레는 게 있다면, 어떤 건가요?",감정,7,1,5,0.36062151448975,0.9333256466768385,0.48584800339660994,7.0,0.7925614072767649
22,60,지금 당장 하고 싶은 말이 있다면 무엇인가요?,감정,7,1,5,0.38849875928715316,0.8175613457978786,0.5022284143238893,7.0,0.7197976740532798
23,110,"하루를 시작할 때 듣는 음악 장르가 있다면, 어떤 장르인가요?",루틴,5,1,4,0.35005451728150644,0.9654193859275757,0.49846098169682174,5.0,0.670905728565001
24,361,오늘 감정이 내 예상과 전혀 다르게 흘러갔나요?,감정,3,1,2,0.4244679724041922,0.7887747726892023,0.6564626617367126,3.0,0.6292713731159404
25,401,슬픈 영화나 노래를 일부러 찾아보며 감정을 쏟아내고 싶었던 적이 있나요?,감정,3,2,1,0.42596134058806784,0.7885279400049824,0.6546483115821634,3.0,0.6202993898921433
26,350,몸과 마음이 기분 좋게 늘어진 순간이 있었나요?,감정,6,1,5,0.38438927034477083,0.914700792831613,0.4935507267529715,6.0,0.5921875174208586
27,360,오늘 하루 중 가장 단골손님처럼 찾아온 감정은 무엇인가요?,감정,5,1,3,0.4136438354498535,0.8012552428426775,0.5441216559271705,5.0,0.5898551491930427
28,88,"최근에 나의 한계를 느꼈던 적이 있다면, 어떤 순간이었나요?",감정,0,0,0,0.3405378147079318,0.9249957219391863,0.5022010649285039,3.9153846153846152,0.5723008792025994
29,301,최근에 꼭 필요하지 않지만 산 물건은 무엇인가요?,취향,7,3,4,0.47579866167679336,0.593727424456084,0.564717784489062,7.0,0.5627712293548662
30,115,"미루고 싶을 때 나를 움직이게 하는 나만의 방법이 있다면, 어떤 건가요?",루틴,5,2,3,0.367166401672934,0.9447752452190371,0.49040088499881457,5.0,0.5571099692039362
31,386,지금 겪고 있는 힘든 일이 있다면 무엇인가요?,감정,6,1,5,0.23969555825855302,0.9843784602794065,0.3336308621784558,6.0,0.5095875069538015
32,373,"오늘이 지나도 꼭 간직하고 싶은 감정이 있다면, 어떤 건가요?",감정,2,1,1,0.387347973641686,0.8800473007745891,0.6680646618262951,2.0,0.5076178721697613
33,325,좋아하는 시의 제목이나 글귀가 있다면 어떤 건가요?,취향,6,1,4,0.38296700126772343,0.918152285506648,0.47468819176465576,6.0,0.49757621309258704
34,396,"참다 참다 폭발한 적이 있다면, 어떤 상황이었나요?",감정,5,1,3,0.4013776308879915,0.8306594435787662,0.5113561184684395,5.0,0.49718317613274327
35,25,"나만 알고 있는 맛집이 있다면, 어떤 곳인가요?",취향,7,2,4,0.39361688247671633,0.8973485708792412,0.47012469415554814,7.0,0.48421974792362743
36,417,"최근에 시작한 일 중 루틴에 넣고 싶은 일이 있다면, 어떤 건가요?",루틴,3,2,1,0.3191750693585897,0.9704118035487382,0.49758705574765116,3.0,0.4839315760994427
37,632,문득 나 자신이 어른스러워졌다고 느낀 최근의 순간은 언제인가요?,가치관,5,1,3,0.3134157766070597,0.9809056500664436,0.4200167642064772,5.0,0.48191440671337205
38,377,"오늘 완전히 방전됐다가 다시 충전된 순간이 있다면, 어떤 때였나요?",감정,2,1,1,0.27077910999913857,0.9884919287355629,0.5330728389231568,2.0,0.47430377374757826
39,306,최근 산 것 중 가장 만족스러운 건 무엇인가요?,취향,6,1,2,0.4739727785100328,0.5995341820783986,0.5586362853249609,6.0,0.4592891444155352
40,1,요즘 자주 찾는 색깔은 무엇인가요?,취향,6,2,1,0.5708064249835423,0.20724680067102919,0.6546317804556375,6.0,0.45474227614108553
41,5,"계절이 바뀌 때 기억나는 냄새가 있다면, 어떤 냄새인가요?",취향,0,0,0,0.45287732345690324,0.6974806021042611,0.5284234610547944,6.592233009708738,0.4502808652850826
42,357,"축 처져 있다가 기분이 다시 살아난 계기가 있다면, 어떤 건가요?",감정,6,1,5,0.589722341698168,0.13722844125773626,0.6684932526627921,6.0,0.4273225343814298
43,69,"최근에 용기를 냈던 경험이 있다면, 어떤 순간이었나요?",감정,3,2,1,0.35585374107128287,0.9261230127131418,0.5127867820351949,3.0,0.42567125333234096
44,93,"내가 세상에 태어나길 잘했다고 느낀 순간이 있다면, 어떤 때였나요?",감정,6,0,5,0.28897255997744314,0.9816614999327598,0.36715564697693137,6.0,0.42413366143993436
45,79,행복의 기준이 있다면 무엇인가요?,감정,4,2,1,0.45516044448567927,0.6690986382068755,0.5723362564612768,4.0,0.4237762758564634
46,610,"가장 최근에 생각이 바뀐 주제가 있다면, 어떤 건가요?",가치관,3,2,1,0.5131527450462885,0.43297986674909933,0.6617532595069976,3.0,0.4030697859915088
47,370,"오늘 아침, 눈을 떴을 때 가장 먼저 든 기분은 무엇인가요?",감정,3,2,1,0.4939236651159854,0.5159316075301174,0.6400267389840939,3.0,0.39629563148175306
48,52,오늘 나를 웃게 만든 장면은 무엇인가요?,감정,4,2,1,0.5327154977421099,0.35222009669495685,0.638767162389756,4.0,0.38354485226112556
49,49,누군가 나에 대한 책을 쓴다면 제목은 뭘까요?,취향,7,2,5,0.35329637546924114,0.9201244603334608,0.41389710046099415,7.0,0.3835434204114693
50,50,"예전엔 좋아했는데 지금은 아닌 취향이 있다면, 어떤 건가요?",취향,6,0,5,0.41168668104348183,0.8493764738973337,0.48236303066254443,6.0,0.38341053150457144
51,78,"과거의 나에게 해주고 싶은 위로가 있다면, 어떤 말인가요?",감정,6,2,3,0.5374190508830298,0.3272852305651287,0.6073952863388561,6.0,0.3796124980055705
52,432,오늘은 하루를 계획적으로 보냈나요 아니면 즉흥적으로 보냈나요?,루틴,0,0,0,0.38275532635491505,0.8933714868896395,0.6326679494253951,1.6715328467153285,0.3776954779196519
53,31,"좋아하는 목소리나 말투가 있다면, 어떤 느낌인가요?",취향,6,3,3,0.5832348296109019,0.14604773603354387,0.6527562939448505,6.0,0.3771454204259858
54,364,최근 나를 가장 강하게 흔들어 놓은 감정은 무엇인가요?,감정,4,1,3,0.5064773563193856,0.4640975819604046,0.6071299583507476,4.0,0.36401868376210794
55,129,"기념일에 반복적으로 하는 일이 있다면, 어떤 건가요?",루틴,5,1,4,0.3500545171542919,0.9654193857459141,0.4303951549826888,5.0,0.3631984251359539
56,348,오늘 하루를 관통한 감정에 이름을 붙인다면 무엇일까요?,감정,3,1,2,0.30191294118098355,0.9669655178594082,0.43547932024369296,3.0,0.36229061534441553
57,61,최근 나를 가장 답답하게 만든 일은 무엇인가요?,감정,4,1,3,0.5561815226017294,0.27393704809130004,0.6536296197483596,4.0,0.35242931968500435
58,53,오늘 하루 중 가장 차분했던 때는 언제인가요?,감정,2,1,1,0.4883887609360301,0.5386802262175051,0.6822680666122725,2.0,0.35059048766065043
59,458,물건의 자리가 정해져 있는 편인가요? 나만의 정리 규칙이 있다면 어떤 건가요?,루틴,3,2,0,0.5720805462032723,0.1857117920971183,0.7002474618127493,3.0,0.3476449017245021
60,530,"오늘 내가 먼저 용기 내어 다가간 적이 있다면, 어떤 순간이었나요?",관계,0,0,0,0.1901079204838539,0.9997007793649177,0.46040302085229473,1.4133333333333333,0.3453992993669371
61,492,"오늘 일과 삶의 균형을 위해 노력한 게 있다면, 어떤 건가요?",루틴,0,0,0,0.19438286679394598,0.999761914939479,0.417418172269358,1.6715328467153285,0.33707551567226846
62,320,"힘들 때마다 찾게 되는 곳이 있다면, 어디인가요?",취향,5,1,2,0.5800540579357488,0.17265223459170775,0.6537322411152062,5.0,0.33307925877828715
63,127,"운동하기 싫을 때 나를 움직이게 하는 주문이 있다면, 어떤 건가요?",루틴,3,0,3,0.30299272769916374,0.9815750400672821,0.423763059278895,3.0,0.32758212096793804
64,450,"집중이 안 될 때 나를 다시 잡아주는 나만의 방법이 있다면, 어떤 건가요?",루틴,3,0,3,0.3449304400016796,0.9687893761938403,0.4640378129606767,3.0,0.3230714476515998
65,124,"약속 시간에 늦지 않기 위해 하는 준비가 있다면, 어떤 건가요?",루틴,3,1,2,0.36253225499408925,0.9491520052451671,0.48106425190659535,3.0,0.3215107753970963
66,94,가장 힘들었던 순간에서 배운게 있다면 무엇인가요?,감정,4,1,3,0.48047256363042756,0.5641609975960667,0.5686591832318689,4.0,0.31893439955724134
67,646,"지금보다 나은 나를 위해 요즘 시도하고 있는 것이 있다면, 어떤 건가요?",가치관,2,1,1,0.41463248359296073,0.8288775207984022,0.5903501268277646,2.0,0.31774889030778614
68,524,"말을 건네고 싶었지만 꾹 참은 사람이 있다면, 어떤 말을 하고 싶었나요?",관계,3,1,2,0.21790647077021752,0.9939670674585652,0.3332090716174708,3.0,0.31275123653798
69,427,오늘 몸이 가장 바쁘게 움직였던 시간은 언제인가요?,루틴,0,0,0,0.3942457183981799,0.8559149895818354,0.5939300342835858,1.6715328467153285,0.30178492864735096
70,473,"물건을 살 때 가격을 꼼꼼히 따져보는 편인가요, 아니면 가격보다 더 중요하게 여기는 나만의 기준이 있나요?",루틴,2,2,0,0.46393262795801227,0.6540733013782035,0.6307119917311005,2.0,0.30158586690309663
71,605,"괜찮지 않은데 '괜찮아'라고 넘긴 적이 있다면, 어떤 순간이었나요?",가치관,4,1,2,0.5183296035053474,0.4054535560295582,0.6015461922989849,4.0,0.3009598610316483
72,419,"잠 들기 전 꼭 하는 일이 있다면, 어떤 건가요?",루틴,4,1,2,0.5423783875526935,0.29498831041340523,0.6244504792577339,4.0,0.29682069010757356
73,471,"나만의 작은 성취를 기록하는 방식이 있다면, 어떤 건가요?",루틴,5,1,4,0.35005451717081126,0.9654193858889426,0.41554964636818675,5.0,0.29608587162790345
74,423,오늘 나를 정신없이 달리게 만든 주범은 무엇인가요?,루틴,3,1,2,0.3462774254837824,0.923194081494049,0.4553456523139369,3.0,0.2958408791951227
75,11,최근 새로 시도해서 재밌던 일은 무엇인가요?,취향,4,1,3,0.2561312302705201,0.9970625720945175,0.33776502450900875,4.0,0.2952355500947927
76,128,"여행 가방을 싸는 나만의 규칙이 있다면, 어떤 건가요?",루틴,2,0,1,0.35759649896240564,0.9534694368765247,0.5203117315281144,2.0,0.2942367290622
77,54,"최근에 눈물이 났던 적이 있다면, 어떤 순간이었나요?",감정,2,1,1,0.3459482347156644,0.9187110794678526,0.5082006210309954,2.0,0.29339976767498105
78,566,"처음엔 별로였는데 나중에 좋아진 적이 있다면, 어떤 경험이었나요?",사랑,0,0,0,0.4202005135676701,0.7973856331430618,0.593608993218568,1.8588235294117648,0.29143866504240284
79,219,"사랑하는 사람의 습관 중 귀여운 점이 있다면, 어떤 건가요?",사랑,5,1,4,0.44213107655314415,0.7399379325131238,0.5053350546710228,5.0,0.28572819354226014
80,641,오늘의 작은 선택이 미래의 나를 어떻게 바꿀까요?,가치관,2,1,1,0.36436765171528934,0.8898407305508838,0.5216242427601772,2.0,0.2843659087285176
81,331,SNS에 일상을 올리는 편인가요? 올린다면 어떤 순간을 주로 올리나요?,취향,5,1,3,0.32414242829031453,0.9868173455016324,0.38642388453938975,5.0,0.28155772018083935
82,375,이번 주 통틀어 가장 환하게 웃었던 기쁜 순간은 언제인가요?,감정,3,1,2,0.47903555292619265,0.5782915252678178,0.5825388621688017,3.0,0.2807463813785258
83,351,"내 안에서 낯선 감정이 고개를 들었던 적이 있다면, 어떤 느낌이었나요?",감정,4,1,3,0.2694597878016633,0.9890344374200517,0.34667971368027534,4.0,0.2792724202975037
84,467,운동할 때 혼자하는 것과 같이 하는 것 중 무엇이 더 좋은가요?,루틴,3,1,1,0.321530976048203,0.9815374612050908,0.4235938896928786,3.0,0.2768393966180143
85,509,"부모님한테 인정받고 싶은 마음이 있다면, 어떤 부분에서 인정받고 싶나요?",관계,3,1,2,0.4362848418083372,0.7251247607540285,0.5357233658459638,3.0,0.2697209006887741
86,148,과거의 나보다 좋아진 습관이 있다면 무엇인가요?,루틴,3,1,2,0.49165420699858103,0.5276161328606249,0.5910538921212751,3.0,0.26961555251291613
87,528,오늘 누군가와 진심이 닿는 대화를 나눴나요?,관계,3,0,2,0.10506971151002967,0.9999898290649022,0.2032321815942927,3.0,0.26625968256471527
88,84,"남에게 말하지 못한 비밀스러운 걱정이 있다면, 어떤 건가요?",감정,5,1,4,0.22336425838057813,0.9924405923784767,0.28217925402834976,5.0,0.2658867837130648
89,627,시간을 되돌린다면 오늘을 어떻게 다르게 살까요?,가치관,0,0,0,0.46160834392926636,0.6397558203225903,0.6327022800551007,1.6888888888888889,0.2612608727121671
90,633,"오늘 나의 원칙을 잘 지켜냈다면, 어떤 방식으로 지켰나요?",가치관,0,0,0,0.24461434421902653,0.9984374136954538,0.41469227083955185,1.6888888888888889,0.25970942363073585
91,442,"공부나 작업을 시작하기 전에 꼭 하는 게 있다면, 어떤 건가요?",루틴,2,2,0,0.3875866614142431,0.9055181247208948,0.5257359778500043,2.0,0.24981436801758683
92,464,"운동할 때 꼭 듣는 음악이 있다면, 어떤 건가요?",루틴,4,3,1,0.4276277390561279,0.7854095937242835,0.49654837932852486,4.0,0.24925734903686322
93,119,"내가 지키는 습관 중 남들에게 추천하고 싶은 게 있다면, 어떤 건가요?",루틴,4,1,3,0.3114819516739874,0.9887546791727461,0.38003491555360264,4.0,0.24792761613528255
94,376,"오늘 감정을 말로 설명하기 참 어려웠던 순간이 있다면, 어떤 때였나요?",감정,1,1,0,0.2738550251993486,0.9914987901155363,0.5477187542521923,1.0,0.24761285890288318
95,515,최근에 가장 기분 좋게 이야기를 나눈 사람은 누구인가요?,관계,2,0,2,0.415118498037819,0.7591155659079408,0.5518986355154354,2.0,0.24733849202372366
96,456,"공부나 작업할 때 옆에 꼭 있어야 편한 것이 있다면, 어떤 건가요?",루틴,2,2,0,0.38758666138086134,0.9055181240454505,0.5235687399864825,2.0,0.24589536817851057
97,3,"비 올 때 듣고 싶은 노래가 있다면, 어떤 노래인가요?",취향,4,3,1,0.6043650694271087,0.09610385340528743,0.6723419556647845,4.0,0.24584418241641837
98,468,운동하면서 나 자신에 대해 알게 된 점이 있나요?,루틴,0,0,0,0.316085167830047,0.9850269296514719,0.47817924495366915,1.6715328467153285,0.24497442015918336
99,17,여행지에서 꼭 들르는 곳은 어디인가요?,취향,5,1,2,0.3612538981089459,0.9606326851922521,0.4138714952163314,5.0,0.23787001099816696
100,359,요즘 나를 든든하게 지탱해주는 감정은 무엇인가요?,감정,3,2,1,0.5733314154148523,0.19235569305319528,0.6608660953023513,3.0,0.23743245315895842
101,526,"오늘 관계 때문에 마음이 조금 무거웠다면, 어떤 일이었나요?",관계,2,1,0,0.16829699636056417,0.9999132149858975,0.29952496140448953,2.0,0.2372985404450117
102,138,"새로운 취미를 시작할 때 거치는 과정이 있다면, 어떤 건가요?",루틴,3,0,3,0.3002554598234589,0.9922924427691782,0.38451166677227994,3.0,0.22853979628917837
103,183,다투면 먼저 사과하는 편인가요? 사과할 때 나만의 방식이 있나요?,관계,2,0,2,0.4196308541719872,0.8143541049339089,0.5453009871334854,2.0,0.22724835456613315
104,354,오늘 하루 감정 그래프를 그리면 어떤 모양일까요?,감정,3,0,3,0.20579084939655223,0.9949749827360704,0.2884696210353403,3.0,0.22426109971038188
105,32,"오래된 물건 중 버리지 못하는 게 있다면, 어떤 물건인가요?",취향,3,1,1,0.5893558279082655,0.13506183397712296,0.6719997708659783,3.0,0.22416662904802712
106,59,오늘 하루 중 가장 아쉬웠던 순간은 언제인가요?,감정,2,2,0,0.509620129176679,0.4510617838870325,0.6334332621617678,2.0,0.22389035550045477
107,642,오늘 겪은 시련이나 실수에서 찾은 뜻밖의 배움은 무엇이었나요?,가치관,1,1,0,0.25717433669863476,0.9962694664874643,0.5032455616207693,1.0,0.22248437099513543
108,136,"매일 일기를 쓰거나 기록을 남기는 습관이 있다면, 어떤 방식인가요?",루틴,0,0,0,0.36435810123702284,0.9433312257972377,0.5093303389764036,1.6715328467153285,0.21909801091805903
109,625,"예전이라면 크게 흔들렸을 상황에서, 의외로 덤덤해진 나를 발견한 순간이 있었나요?",가치관,3,2,1,0.31237977421461705,0.9824268457734417,0.39272503081605037,3.0,0.2179315832202944
110,288,더 나은 세상을 위해 소소하게라도 하고 있는 행동이 있나요?,가치관,2,0,1,0.3755937154278063,0.9413085714046926,0.49290739235392206,2.0,0.21213743807950314
111,645,"성장했다고 느낀 순간이 있다면, 어떤 때였나요?",가치관,3,2,1,0.535774683254523,0.32085079650396076,0.6120253903947275,3.0,0.20682536881007746
112,518,"오늘 누군가에게 ""고마워""라고 말하고 싶었나요?",관계,0,0,0,0.20347557983766085,0.9972161957117154,0.36492670465505067,1.4133333333333333,0.20631193579874962
113,125,"가계부를 쓰거나 돈을 관리하는 방법이 있다면, 어떤 건가요?",루틴,2,0,1,0.32512253243025924,0.9796956183393797,0.4377230528720333,2.0,0.20361467272039033
114,465,"운동 전에 꼭 하는 루틴이 있다면, 어떤 건가요?",루틴,2,0,2,0.3511267338061834,0.96184359260405,0.4627744482767268,2.0,0.20189172086158003
115,490,"겉으론 '응'이라고 하지만 속으론 '싫어' 하는 게 있다면, 어떤 건가요?",루틴,3,2,0,0.5371302043313175,0.32273179405100066,0.6112560033278824,3.0,0.2010616857312086
116,608,채워지지 않는 결핍이 있다면 무엇인가요?,가치관,2,0,2,0.45575335950548407,0.6463269672517405,0.566530578338787,2.0,0.2003176101595526
117,457,물건을 잘 버리는 편인가요? 버릴 때 기준이 있다면 어떤 건가요?,루틴,0,0,0,0.5548921337513095,0.24942944966981517,0.6834989842844068,1.6715328467153285,0.19436483551349298
118,438,"운동을 시작하게 된 계기가 있다면, 어떤 건가요?",루틴,0,0,0,0.32196691861175547,0.9782332277505532,0.44976394204463316,1.6715328467153285,0.19314093561643392
119,214,"첫눈에 반한 적이 있다면, 어떤 느낌이었나요?",사랑,2,0,2,0.3705564684504752,0.914902353220002,0.476676975991716,2.0,0.19189691421634983
120,533,"이번 주, 존재만으로도 감사했던 사람이 있었나요?",관계,0,0,0,0.31285830300884154,0.9482119002013589,0.462110842225795,1.4133333333333333,0.19072385109460574
121,123,"건강을 위해 매일 챙겨 먹는 게 있다면, 어떤 건가요?",루틴,4,3,1,0.3915339257661721,0.8997967033867508,0.4442404449696481,4.0,0.1906176031112784
122,452,공부하다 잠깐 쉴 때 주로 뭘 하나요?,루틴,4,3,1,0.39153392526954106,0.8997967038785968,0.44334026343368743,4.0,0.18736202192936038
123,384,"나도 이해 안 되는 내 모습이 있다면, 어떤 모습인가요?",감정,3,1,1,0.5935493164079324,0.12956004665871873,0.6623463003094052,3.0,0.18660760145187724
124,425,오늘 아무 생각 없이 기계적으로 반복한 행동은 무엇인가요?,루틴,1,0,1,0.3378966886731715,0.9519944198357473,0.5409224466065699,1.0,0.183564974181423
125,466,"운동 후에 꼭 하는 것이 있다면, 어떤 건가요?",루틴,0,0,0,0.36435810123702284,0.9433312257972377,0.48579735683800734,1.6715328467153285,0.1835323767118608
126,190,"관계를 정리할 때 나만의 기준이 있다면, 어떤 건가요?",관계,3,1,2,0.2688687145985756,0.9963860667058118,0.3364422120586623,3.0,0.18328896948157275
127,431,오늘 하루 종일 가장 많이 반복한 행동은 무엇이었나요?,루틴,1,1,0,0.3559686992692594,0.9284456859420988,0.5585165094837932,1.0,0.18313283955197257
128,118,"하루 일정을 정리하는 나만의 도구가 있다면, 어떤 건가요?",루틴,0,0,0,0.36435810123702284,0.9433312257972377,0.4832674019800751,1.6715328467153285,0.17970883031615764
129,443,"집중이 잘 되는 시간대가 있다면, 언제인가요?",루틴,3,1,2,0.5423783877399422,0.29498831148280713,0.6080114220068197,3.0,0.17802558202393343
130,507,"가족이라서 참고 있는 게 있다면, 어떤 건가요?",관계,4,1,2,0.27012435536892376,0.9908997403180095,0.3187087197072537,4.0,0.17570947994317085
131,291,"과거로 돌아갈 수 있다면 바꾸고 싶은 선택이 있다면, 어떤 건가요?",가치관,3,1,2,0.5670117194395135,0.22780804310054859,0.6315120600699278,3.0,0.17495321997121743
132,529,상대의 감정을 예민하게 읽어낸 순간이 있었나요?,관계,2,0,2,0.22317672364012497,0.9995629100539517,0.3189420559758522,2.0,0.173171728913825
133,472,"운동으로 성취감을 느낀 적이 있다면, 어떤 순간이었나요?",루틴,2,1,1,0.327938273995134,0.9753121375477244,0.4216528979942152,2.0,0.16946344847983652
134,609,회피하고 있는게 있다면 무엇인가요?,가치관,0,0,0,0.5397525505400533,0.3199089063891115,0.6506476501928887,1.6888888888888889,0.16933709733285987
135,628,오늘 누구의 눈치도 보지 않고 오직 내 마음대로 정한 건 무엇인가요?,가치관,1,0,1,0.28179791264126786,0.9937093097025338,0.4688172978092998,1.0,0.16909287254604047
136,626,오늘 나를 움직이게 한 가장 큰 동력은 무엇인가요?,가치관,0,0,0,0.3654178044379004,0.8991692272859367,0.4717906391944862,1.6888888888888889,0.1624315874113346
137,567,"이번 주, 마음이 몽글몽글한 순간은 언제였나요?",사랑,4,1,3,0.40005724643361895,0.8088036828799055,0.44419970291083966,4.0,0.15964494290825426
138,336,오늘 내 복잡한 마음을 잠시 쉬게 해준 건 무엇이었나요?,취향,1,0,1,0.22717109566367374,0.9989014118563582,0.40220015035467305,1.0,0.15825186041611528
139,150,오늘 하루를 기록한다면 어떤 제목을 붙이고 싶나요?,루틴,2,0,2,0.20344500080782296,0.9973281525282114,0.2908680153280467,2.0,0.15808637846367696
140,433,오늘 루틴 중에서 나를 칭찬해주고 싶은 순간은 무엇인가요?,루틴,1,1,0,0.24132681401725395,0.9978607414894026,0.4149738107151163,1.0,0.15700227788821436
141,649,어떻게 죽게 될지에 대한 나만의 예감이 있나요?,가치관,4,3,1,0.6274989612815056,0.0909799929403659,0.6708108064017949,4.0,0.15664096639134495
142,135,"화난 마음을 가라앉히는 나만의 루틴이 있다면, 어떤 건가요?",루틴,0,0,0,0.40074645237638334,0.8659554510361567,0.504302654418376,1.6715328467153285,0.15650553678020468
143,648,"절대 장난스럽게 얘기할 수 없는 진지한 주제가 있다면, 무엇인가요?",가치관,2,1,1,0.477030597112773,0.5857450303692134,0.561343935934854,2.0,0.1524631753287385
144,531,오늘 내가 누군가를 소리 내어 웃게 만들었나요?,관계,1,0,1,0.22488230709244192,0.9943284899423445,0.3928233175332801,1.0,0.15184323190995086
145,21,"남들은 모르지만 혼자 발견한 풍경이 있다면, 어떤 풍경인가요?",취향,2,0,2,0.2669425720899967,0.9980116026633007,0.3498975684867247,2.0,0.15000689495547423
146,245,"사랑하는 사람 때문에 내가 바뀐 점이 있다면, 어떤 건가요?",사랑,0,0,0,0.3704672430578202,0.9053256641563103,0.45869879064725666,1.8588235294117648,0.1482861997052141
147,430,오늘 조금 과하다 싶었던 나의 행동은 무엇이었나요?,루틴,1,0,1,0.20252429839630057,0.9996064516365297,0.3653621909669545,1.0,0.1472292671124771
148,525,오늘 누군가에게 미안한 마음이 가볍게 스쳤나요?,관계,1,0,1,0.20070669214519662,0.9975553035584258,0.3629633359705745,1.0,0.1467037332491602
149,483,"꿈을 기록해본 적이 있다면, 어떤 경험이었나요?",루틴,2,0,2,0.3108788657112855,0.9854720524552797,0.39194559965179565,2.0,0.14659236418310712
150,478,"돈 때문에 고민했던 경험이 있다면, 어떤 상황이었나요?",루틴,0,0,0,0.27970027407657067,0.9848347482076982,0.37339211593960175,1.6715328467153285,0.14159742935293904
151,802,망해가는 회사의 사장과 잘나가는 대기업의 평사원 중 뭐가 더 편한가요?,가치관,2,0,1,0.5623421830354168,0.2078087582926214,0.6403530314870072,2.0,0.14106642947822132
152,155,최근 누군가에게 받은 기분 좋은 문자는 무엇인가요?,관계,2,0,2,0.2710145381499149,0.9928345768972097,0.34896798006213925,2.0,0.14096262166561838
153,453,"쉬고 있는데도 불안했던 적이 있다면, 그 불안은 어디에서 오는 걸까요?",루틴,3,0,3,0.2269935441831623,0.9988958413474985,0.2787980309199534,3.0,0.14051649456381504
154,83,"내 감정을 다스리는 나만의 루틴이 있다면, 어떤 건가요?",감정,2,1,1,0.4949183492716345,0.5125028643455846,0.572525562361111,2.0,0.14033653869412244
155,588,"과거의 나에게 '괜찮아, 그럴 수 있어'라고 말해주고 싶은 순간이 있나요?",가치관,2,0,2,0.5089099656753826,0.448262222917042,0.5861649650011681,2.0,0.1396996331990129
