id,q,cat,level,exp,ans,rep,nr,T,P,E,W,S,F,C,사후 답변율,사후 하한(10%),사후 상한(90%),P(평균 미만)
335,오늘 쓴 돈이나 시간 중 가심비 최고였던 건 무엇이었나요?,취향,2,8,1,6,1,2,2,2,1,1,r,1,0.16185570684953277,0.10022309592300516,0.25082410507824027,0.9999297104790739
666,번화한 도시와 고요한 숲속 중 뭐가 더 끌리나요?,취향,1,12,6,5,1,0,0,1,1,1,c,0,0.5338663205327098,0.44131627266739315,0.624142298278422,0.3078078930129009
16,가장 좋아하는 신발은 무엇인가요?,취향,2,11,6,5,0,0,0,1,1,1,p,0,0.581129080228863,0.48457952948631183,0.671840599558867,0.133314593632
34,어떤 라이프스타일로 살고 싶나요?,취향,2,9,4,5,0,0,0,2,1,1,h,0,0.4915766305120069,0.3840570493840287,0.5998811458200858,0.5277578605414545
305,위시리스트에서 가장 사고 싶은 것은 무엇인가요?,취향,2,9,3,5,1,0,0,1,1,1,p,0,0.5593839934677709,0.46074980362985474,0.6535429251321737,0.21059973577529922
667,작은 도시에서 사는 것과 대도시에서 사는 것 중 뭐가 더 나에게 맞나요?,취향,1,8,3,5,0,0,0,1,1,1,c,0,0.5093561164807935,0.4154364839391832,0.6026198951413586,0.4364679507003395
49,누군가 나에 대한 책을 쓴다면 제목은 뭘까요?,취향,2,7,2,5,0,0,0,3,1,2,h,1,0.35329637546924114,0.24108959121199774,0.4843934422531222,0.9201244603334608
60,지금 당장 하고 싶은 말이 있다면 무엇인가요?,감정,2,7,1,5,1,1,1,1,2,2,o,0,0.38849875928715316,0.25326257508548033,0.5433987201670044,0.8175613457978786
63,"내일 일어날 일 중 설레는 게 있다면, 어떤 건가요?",감정,2,7,1,5,1,2,2,1,1,1,p,0,0.36062151448975,0.25861110996186054,0.476982442033517,0.9333256466768385
662,전액 지원 세계 여행과 현금 4천만 원 중 뭐가 더 마음이 가나요?,취향,1,7,2,5,0,0,0,1,1,1,c,0,0.5006005895795387,0.4063147935863917,0.5948436918276861,0.4835733064798588
50,"예전엔 좋아했는데 지금은 아닌 취향이 있다면, 어떤 건가요?",취향,2,6,0,5,1,0,1,2,1,1,r,0,0.41168668104348183,0.31273682379310697,0.5183320571563195,0.8493764738973337
93,"내가 세상에 태어나길 잘했다고 느낀 순간이 있다면, 어떤 때였나요?",감정,2,6,0,5,1,0,2,3,3,3,r,0,0.28897255997744314,0.19052203137057416,0.4123796050969344,0.9816614999327598
350,몸과 마음이 기분 좋게 늘어진 순간이 있었나요?,감정,2,6,1,5,0,0,2,1,1,1,r,0,0.38438927034477083,0.2885956638574068,0.4900753533221619,0.914700792831613
357,"축 처져 있다가 기분이 다시 살아난 계기가 있다면, 어떤 건가요?",감정,2,6,1,5,0,0,1,1,2,1,r,0,0.589722341698168,0.4814519376763796,0.689944887208611,0.13722844125773626
386,지금 겪고 있는 힘든 일이 있다면 무엇인가요?,감정,2,6,1,5,0,1,2,1,3,3,o,0,0.23969555825855302,0.1376063156351327,0.3838157058103127,0.9843784602794065
43,딱 한 권만 남길 수 있다면 어떤 책인가요?,취향,2,5,0,5,0,0,2,2,1,1,h,0,0.29328141968215404,0.20546529982159156,0.3997467734175321,0.990773421566519
347,"오늘 속으로 나를 가만히 안아준 적이 있다면, 어떤 순간이었나요?",감정,2,5,0,5,0,2,2,2,2,2,r,1,0.2101670625499639,0.13042578724825407,0.3206822766373029,0.9983464242607721
14,집에서 가장 편한 자리는 어디인가요?,취향,2,10,5,4,1,0,0,1,1,1,p,0,0.5837885751853896,0.4861342401192801,0.6752809134777538,0.12857430766484756
339,유튜버가 된다면 어떤 콘텐츠를 올리고 싶나요?,취향,1,10,5,4,1,0,0,1,1,1,h,0,0.584886171615039,0.4790468090560595,0.6834323779864683,0.14471929564680708
13,가방 속에 늘 챙기는 물건은 무엇인가요?,취향,2,9,4,4,1,0,0,1,1,1,t,0,0.5423392531903215,0.45105602161940117,0.6308655789357398,0.26477448025642014
319,반대되는 성격이 좋나요 아니면 비슷한 성격이 좋나요?,취향,2,9,4,4,1,0,0,1,1,1,c,0,0.49529359194461325,0.40052849540471,0.5903980537173737,0.5119201771231643
326,평소 좋아하는 메이크업 분위기는 무엇인가요?,취향,2,9,4,4,1,0,2,1,1,1,p,0,0.41411198220323936,0.31662867145302276,0.5188221468586355,0.8468664538075914
329,하루만 다른 사람으로 살 수 있다면 어떤 사람으로 살고 싶나요?,취향,2,9,5,4,0,0,0,2,1,1,h,0,0.5088167458155808,0.400496586186641,0.6163153338426809,0.447548083905255
36,"나만의 특별한 요리 레시피가 있다면, 어떤 건가요?",취향,2,8,2,4,2,0,2,1,1,1,p,0,0.3936168824765047,0.2974624274536134,0.4987857743022041,0.8973485708736
68,나를 가장 편안하게 해주는 소리는 무엇인가요?,감정,1,8,2,4,2,0,0,1,1,1,p,0,0.6740974741100864,0.5803760009536656,0.7556978167309488,0.009493982587336991
668,전기·인터넷 같은 기술을 포기하는 것과 영화·TV·책 같은 오락을 포기하는 것 중 뭐가 덜 아쉬운가요?,취향,1,8,4,4,0,0,0,1,1,1,c,0,0.5268528577298156,0.43253890669018163,0.6192885705284763,0.3457213265479926
25,"나만 알고 있는 맛집이 있다면, 어떤 곳인가요?",취향,2,7,2,4,1,0,2,1,1,1,p,0,0.39361688247671633,0.2974624274562094,0.4987857742995419,0.8973485708792412
301,최근에 꼭 필요하지 않지만 산 물건은 무엇인가요?,취향,2,7,3,4,0,1,1,1,1,1,r,0,0.47579866167679336,0.36189256927213215,0.5922795915454456,0.593727424456084
341,평소 어떤 상상을 가장 자주 하나요?,취향,2,7,1,4,2,0,0,1,1,2,t,0,0.4835635799362893,0.38850687746983315,0.579824765562894,0.5732879370688148
397,나만의 짜증이 나는 포인트는 무엇인가요?,감정,2,7,3,4,0,0,0,1,1,1,t,0,0.6172477453284608,0.5256680787248733,0.7011965950207237,0.04781857443976954
323,가장 좋아하는 브랜드는 무엇인가요?,취향,2,6,2,4,0,0,0,1,1,1,p,0,0.5614483682731173,0.4615566302518344,0.6565961775385944,0.20587345242145866
325,좋아하는 시의 제목이나 글귀가 있다면 어떤 건가요?,취향,2,6,1,4,1,0,2,1,1,1,p,0,0.38296700126772343,0.2876536696842351,0.48821709072914926,0.918152285506648
356,"오늘 아주 잠깐이라도 행복이 스친 순간이 있다면, 어떤 순간이었나요?",감정,1,6,2,4,0,2,2,1,1,1,r,0,0.33574799148096635,0.2389989957854352,0.44857593055634426,0.9649277268394111
661,여러 나라를 도는 여행과 한 곳에 머무는 여행 중 뭐가 더 마음이 가나요?,취향,1,6,2,4,0,0,1,1,1,1,c,0,0.5137181953885761,0.41342749571344134,0.6129162531846806,0.4187685656469619
663,손에 남는 선물과 마음에 남는 경험 중 뭐가 더 기억에 남나요?,취향,1,6,2,4,0,0,0,1,1,1,c,0,0.5096727602342224,0.41443186409195054,0.6042166130969405,0.435689940763673
670,단순하게 사는 것과 복잡해도 풍부하게 사는 것 중 뭐가 더 나다운가요?,취향,1,6,2,4,0,0,0,1,1,1,c,0,0.5096727601600402,0.4144318642109689,0.604216612837686,0.4356899410228097
56,오늘 나를 기운 나게 한 말은 무엇인가요?,감정,1,5,1,4,0,2,2,1,1,1,r,0,0.32485097984811045,0.2297580722147771,0.4369730421112474,0.9734782009016615
67,최근에 질투를 느꼈던 순간이 있다면 어떤 상황이었나요?,감정,2,5,1,4,0,1,2,2,3,3,r,0,0.3283316403571721,0.21655659988583173,0.46365567745309144,0.9437228341874486
84,"남에게 말하지 못한 비밀스러운 걱정이 있다면, 어떤 건가요?",감정,2,5,1,4,0,0,2,2,3,3,o,0,0.22336425838057813,0.1302972646347142,0.3557171073640151,0.9924405923784767
110,"하루를 시작할 때 듣는 음악 장르가 있다면, 어떤 장르인가요?",루틴,2,5,1,4,0,0,2,1,1,1,t,0,0.35005451728150644,0.259566981683482,0.45279629967227264,0.9654193859275757
129,"기념일에 반복적으로 하는 일이 있다면, 어떤 건가요?",루틴,2,5,1,4,0,0,2,1,1,1,t,0,0.3500545171542919,0.2595669813924097,0.45279629977043967,0.9654193857459141
219,"사랑하는 사람의 습관 중 귀여운 점이 있다면, 어떤 건가요?",사랑,2,5,1,4,0,0,2,1,1,1,t,0,0.44213107655314415,0.3371101809325641,0.5525956303668741,0.7399379325131238
471,"나만의 작은 성취를 기록하는 방식이 있다면, 어떤 건가요?",루틴,2,5,1,4,0,0,2,1,1,1,t,0,0.35005451717081126,0.25956698150110064,0.4527962996662964,0.9654193858889426
38,"전시회에서 작품을 보는 나만의 방식이 있다면, 어떤 건가요?",취향,2,4,0,4,0,0,2,2,1,1,t,0,0.29428257185076034,0.2159705929440409,0.3869752234085676,0.9962422201047028
602,죽기 전에 꼭 해보고 싶은 건 무엇인가요?,가치관,2,4,0,4,0,0,0,2,1,1,p,0,0.5644859528863412,0.46476842760971127,0.6592462629271495,0.19448224629576844
798,"지금 아니면 못 갈 것 같다면, 여행과 커리어 중 뭐가 더 끌리나요?",가치관,2,4,0,4,0,0,1,1,1,1,c,0,0.5309834349543292,0.43116366330174166,0.6283840244939451,0.33435843330701864
665,인터넷 없이 사는 것과 냉난방 없이 사는 것 중 뭐가 더 나은가요?,취향,1,12,6,3,3,0,0,1,1,1,c,0,0.552100287747896,0.4582376649810912,0.642391739231901,0.22802975057756247
18,책을 고를 때 가장 먼저 보는 것은 무엇인가요?,취향,2,9,4,3,2,0,2,1,1,1,t,0,0.387232499843913,0.29807886674425527,0.48464042360868614,0.9261846207480322
28,가장 좋아하는 꽃의 이름은 무엇인가요?,취향,2,9,5,3,1,0,0,1,1,1,p,0,0.5936988359084623,0.49572292112557276,0.6847448028372857,0.10416517135826825
672,스트레스 없는 삶과 지루함 없는 삶 중 뭐가 더 끌리나요?,취향,1,9,4,3,2,0,0,1,1,1,c,0,0.5361930918403771,0.4411020331696919,0.6287230920115083,0.301521010707714
42,내가 모은 물건들의 공통점은 무엇인가요?,취향,2,8,5,3,0,0,1,2,1,1,t,0,0.5174046280898993,0.41918106922991133,0.6143013847363024,0.3984117661655276
327,유독 마음이 끌리는 외국어가 있다면 무엇인가요?,취향,2,8,5,3,0,0,1,1,1,1,p,0,0.5975087892406422,0.49472894237069276,0.692381447535582,0.10619149869657513
7,집에서 가장 좋아하는 컵은 무엇인가요?,취향,2,7,3,3,1,0,0,1,1,1,p,0,0.5792669985784994,0.4796349104793084,0.672835023216709,0.14622063453649875
15,주말 아침에 가장 하고 싶은 일은 무엇인가요?,취향,2,7,4,3,0,0,0,1,1,1,p,0,0.5866223997991158,0.48781196816958095,0.6789175062447523,0.12372111013174586
27,자기 전 머릿속으로 그리는 상상은 무엇인가요?,취향,2,7,1,3,3,0,1,2,1,2,t,0,0.4471415091804913,0.3472815263093256,0.5514562375913624,0.7321394341936345
409,나이가 들면서 감정이 변했나요?,감정,2,7,3,3,1,0,0,2,1,1,t,0,0.5816399566788107,0.4858833737855924,0.6716153060787242,0.12991143779746317
19,가장 아끼는 옷은 어떤 스타일인가요?,취향,2,6,3,3,0,0,0,1,1,1,p,0,0.5792669990082749,0.4796349112288886,0.672835023331955,0.1462206324999386
22,서점에서 제목만 보고 고르는 분야는 무엇인가요?,취향,2,6,2,3,1,0,1,1,1,1,t,0,0.5395248667510532,0.4410216332952543,0.6350345893854072,0.2927336985729786
24,입었을 때 가장 나다운 옷차림은 무엇인가요?,취향,2,6,3,3,0,0,0,2,1,2,p,0,0.49889465222477336,0.39516323483296745,0.6027213076079305,0.4933966721525566
31,"좋아하는 목소리나 말투가 있다면, 어떤 느낌인가요?",취향,2,6,3,3,0,0,1,1,1,1,p,0,0.5832348296109019,0.4788259254899741,0.6806761691174517,0.14604773603354387
47,상상 속 완벽한 하루는 어떤 모습인가요?,취향,2,6,0,3,3,0,0,2,1,1,h,0,0.4714446421361329,0.36184435101878343,0.5838689572129612,0.6162264223590079
78,"과거의 나에게 해주고 싶은 위로가 있다면, 어떤 말인가요?",감정,2,6,2,3,1,0,1,2,2,2,r,0,0.5374190508830298,0.4236446287936219,0.6474256932010067,0.3272852305651287
318,가장 좋아하는 게임은 무엇인가요?,취향,2,6,2,3,1,0,1,1,1,1,p,0,0.5756684713500931,0.4704712226911167,0.6744291338660668,0.17019159647869703
406,혼자 있을 때 불안함을 어느정도 느끼나요?,감정,2,6,3,3,0,0,0,1,2,2,t,0,0.6293092948314387,0.5311725979382373,0.7178166880643938,0.043769404252124
80,"최근에 누군가를 용서했던 경험이 있다면, 어떤 일이었나요?",감정,2,5,2,3,0,1,2,2,3,3,r,0,0.3450027080370588,0.22952509160139767,0.4822167701540619,0.9221161590101505
115,"미루고 싶을 때 나를 움직이게 하는 나만의 방법이 있다면, 어떤 건가요?",루틴,2,5,2,3,0,0,2,1,1,1,t,0,0.367166401672934,0.27416812168608634,0.4712298663899561,0.9447752452190371
213,내가 생각하는 사랑은 어떤 느낌인가요?,사랑,1,5,2,3,0,0,0,3,1,1,d,0,0.4768826953563744,0.35504726234831263,0.6015327672690766,0.5831908054297927
304,"사진을 많이 찍나요, 눈으로만 담는 것을 즐기나요?",취향,2,5,2,3,0,0,0,1,1,1,c,0,0.4857825058242364,0.3894942784046964,0.5831378136919424,0.5610061871364451
331,SNS에 일상을 올리는 편인가요? 올린다면 어떤 순간을 주로 올리나요?,취향,2,5,1,3,1,0,2,1,1,2,t,0,0.32414242829031453,0.2399132495188065,0.4215427323802521,0.9868173455016324
342,감정이 격해질 때 말이 많아지나요 적어지나요?,감정,2,5,1,3,1,0,0,1,1,1,c,0,0.5654214903885799,0.4657134553551006,0.6601025898158063,0.19115213658819596
360,오늘 하루 중 가장 단골손님처럼 찾아온 감정은 무엇인가요?,감정,2,5,1,3,1,2,0,2,1,1,t,1,0.4136438354498535,0.2968187016083129,0.5410695232966057,0.8012552428426775
374,오늘 느낀 감정 중 다시 느끼고 싶지 않은 건 무엇인가요?,감정,2,5,2,3,0,2,1,1,2,2,r,0,0.48140090538382485,0.36092608312305896,0.6040778548629897,0.5661299022315046
378,하나의 감정만 느낄 수 있다면 무엇을 남기고 싶나요?,감정,2,5,2,3,0,0,0,2,1,1,h,0,0.5784419231408272,0.46599743443188363,0.683300575029935,0.17779544554413523
385,나의 어떤 면을 아직 받아들이지 못하고 있나요?,감정,2,5,2,3,0,0,0,3,3,3,t,0,0.5287941028304423,0.40418809331190136,0.6499120540845787,0.37498037618654195
396,"참다 참다 폭발한 적이 있다면, 어떤 상황이었나요?",감정,2,5,1,3,1,0,2,1,3,3,r,0,0.4013776308879915,0.28455985009837154,0.5305862205395647,0.8306594435787662
404,실패가 두려운 편인가요? 어떤 실패가 가장 무서운가요?,감정,2,5,2,3,0,0,0,2,2,2,t,0,0.5756389795369948,0.47264590523286343,0.6724568202359263,0.1651797909275784
623,돌아보니 칭찬해주고 싶은 오늘의 선택은 무엇인가요?,가치관,2,5,1,3,1,2,1,2,1,1,r,0,0.40117656271683105,0.2953338403682036,0.5171151775609818,0.8571324623780927
632,문득 나 자신이 어른스러워졌다고 느낀 최근의 순간은 언제인가요?,가치관,2,5,1,3,1,1,2,2,1,1,r,0,0.3134157766070597,0.22046471441228666,0.4242291069781769,0.9809056500664436
664,도시의 작은 아파트와 시골의 넓은 집 중 뭐가 더 마음이 가나요?,취향,1,5,2,3,0,0,0,1,1,1,c,0,0.5190667217547856,0.4228954490454758,0.6138456232275543,0.3877453543178644
669,예술 없는 삶과 과학 없는 삶 중 뭐가 더 힘드나요?,취향,2,5,2,3,0,0,0,2,1,1,c,0,0.4371035528684841,0.3420891350388468,0.536969165893292,0.7813300173277835
671,물건을 소유하는 삶과 경험을 쌓는 삶 중 뭐가 더 남나요?,취향,2,5,2,3,0,0,0,1,1,1,c,0,0.48578250575423976,0.38949427840515505,0.5831378135552407,0.5610061875406387
11,최근 새로 시도해서 재밌던 일은 무엇인가요?,취향,2,4,1,3,0,1,2,2,1,1,r,0,0.2561312302705201,0.1739887889105532,0.36014567620266014,0.9970625720945175
61,최근 나를 가장 답답하게 만든 일은 무엇인가요?,감정,2,4,1,3,0,1,1,1,2,2,r,0,0.5561815226017294,0.4312771372008623,0.6743663460500774,0.27393704809130004
73,남들 시선을 많이 신경 쓰는 편인가요? 어떤 상황에서 특히 그런가요?,감정,2,4,1,3,0,0,0,2,2,2,t,0,0.5677668345327108,0.46399100165359286,0.6659173393737853,0.19256153214757415
87,다른 사람을 보며 멋지다고 느끼는 포인트는 무엇인가요?,감정,2,4,1,3,0,0,0,1,1,1,t,0,0.6144536187506121,0.5206718962265046,0.7004431834128451,0.05578498364760441
94,가장 힘들었던 순간에서 배운게 있다면 무엇인가요?,감정,2,4,1,3,0,0,1,3,3,3,r,0,0.48047256363042756,0.3497905828928019,0.613882273834765,0.5641609975960667
119,"내가 지키는 습관 중 남들에게 추천하고 싶은 게 있다면, 어떤 건가요?",루틴,2,4,1,3,0,0,2,2,1,1,t,0,0.3114819516739874,0.22563285593089338,0.4125913011889798,0.9887546791727461
293,나의 인생을 한 단어로 표현한다면 무엇인가요?,가치관,2,4,1,3,0,0,0,2,1,2,d,0,0.4197878740365276,0.3151538315398169,0.5321667296396001,0.8129274779231468
328,꾸준히 수집하는 물건이 있다면 무엇인가요?,취향,2,4,1,3,0,0,2,1,1,1,p,0,0.3898701142095591,0.29315263645618966,0.4961013027172658,0.9029590069518727
351,"내 안에서 낯선 감정이 고개를 들었던 적이 있다면, 어떤 느낌이었나요?",감정,2,4,1,3,0,0,2,3,2,2,r,1,0.2694597878016633,0.17513740736667435,0.39053016345513497,0.9890344374200517
362,"오늘 감정의 온도가 급격히 변한 시점이 있다면, 어떤 때였나요?",감정,2,4,1,3,0,2,2,2,1,1,r,1,0.22502742054752245,0.14273339627825024,0.3361630313090373,0.9976495715390912
364,최근 나를 가장 강하게 흔들어 놓은 감정은 무엇인가요?,감정,2,4,1,3,0,1,1,2,2,2,r,0,0.5064773563193856,0.3815816683500284,0.6305697893381089,0.4640975819604046
563,끌리는 사람과 좋은 사람 중 누가 더 좋은가요?,사랑,2,4,1,3,0,0,0,1,1,1,c,0,0.5749138891987647,0.46608746031479026,0.676933698048592,0.18068676842639608
567,"이번 주, 마음이 몽글몽글한 순간은 언제였나요?",사랑,2,4,1,3,0,2,1,1,1,2,r,1,0.40005724643361895,0.2718397668563495,0.5436027504020058,0.8088036828799055
634,관계에서 내가 절대 포기할 수 없는 0순위는 무엇인가요?,가치관,2,4,0,3,1,0,0,2,1,1,d,0,0.4430004228648265,0.337904412561248,0.5534597213525633,0.7366381916128613
688,위험해도 나을 가능성에 도전하는 것과 안전하게 지내는 것 중 뭐가 더 나은가요?,루틴,2,4,1,3,0,0,0,2,2,1,c,0,0.4633538780264287,0.3568843688822951,0.5732728800227526,0.6543673398792933
720,사소한 기념일까지 챙기는 것과 중요한 날만 챙기는 것 중 뭐가 더 편한가요?,사랑,1,4,1,3,0,0,0,1,1,1,c,0,0.6077608729957235,0.5011707634288479,0.7049821460980004,0.09264724889047932
23,무인도에 딱 하나만 가져간다면 무엇인가요?,취향,2,3,0,3,0,0,0,1,1,1,h,0,0.5222302266540132,0.4117617162453264,0.6305661623865166,0.38811407224157407
90,지금 내가 가장 필요한 감정은 뭘까요?,감정,2,3,0,3,0,1,0,3,2,2,d,1,0.3483975379064601,0.22590361061460326,0.49485194168032615,0.9039365908871757
99,나에게 사랑이란 어떤 감정인가요?,감정,2,3,0,3,0,0,0,3,2,2,d,0,0.4148796688261368,0.30014480133669624,0.5396541537204944,0.8026964058841775
127,"운동하기 싫을 때 나를 움직이게 하는 주문이 있다면, 어떤 건가요?",루틴,2,3,0,3,0,0,2,1,1,1,t,1,0.30299272769916374,0.20775411404401894,0.4188106957138483,0.9815750400672821
138,"새로운 취미를 시작할 때 거치는 과정이 있다면, 어떤 건가요?",루틴,2,3,0,3,0,0,2,2,1,1,t,0,0.3002554598234589,0.21611023211785416,0.4004276464993374,0.9922924427691782
167,나랑 유머 코드가 가장 잘 맞는 사람은 누구인가요?,관계,1,3,0,3,0,0,0,1,1,1,n,0,0.42529503868531254,0.29919143823578837,0.5619312877538708,0.7512664671805374
170,나를 가장 잘 이해한다고 느끼는 사람은 누구인가요?,관계,2,3,0,3,0,0,1,1,2,2,n,0,0.39749179602972945,0.2685350779807305,0.5424509916822933,0.8126928690132817
191,나를 가장 힘들게 했던 인연은 누구였나요?,관계,2,3,0,3,0,0,2,2,3,3,n,0,0.20489778760956728,0.11883364964926238,0.3299531368028314,0.9961400470809282
192,사람들에게 듣고 싶은 진심 어린 말은 무엇인가요?,관계,2,3,0,3,0,0,0,2,2,2,p,0,0.4490085209808946,0.33688568780531125,0.5665647041225375,0.7013837223682059
354,오늘 하루 감정 그래프를 그리면 어떤 모양일까요?,감정,2,3,0,3,0,2,0,2,1,2,o,1,0.20579084939655223,0.11733014741039169,0.3355890619397593,0.9949749827360704
412,고마운 마음을 잘 표현하는 편인가요?,감정,2,3,0,3,0,0,0,1,1,1,t,0,0.607360745703452,0.5125076776741588,0.6947502580419563,0.06938422478082377
434,"아침이나 저녁, 평소와 달랐던 순간은 언제였나요?",루틴,2,3,0,3,0,1,1,2,1,1,r,1,0.3612540763952147,0.2422729236137555,0.500101979180235,0.8958985475133368
450,"집중이 안 될 때 나를 다시 잡아주는 나만의 방법이 있다면, 어떤 건가요?",루틴,2,3,0,3,0,0,2,1,1,1,t,0,0.3449304400016796,0.254305622232439,0.44842948254816856,0.9687893761938403
453,"쉬고 있는데도 불안했던 적이 있다면, 그 불안은 어디에서 오는 걸까요?",루틴,2,3,0,3,0,0,2,3,2,2,r,0,0.2269935441831623,0.1500341059655175,0.3281866465918004,0.9988958413474985
536,"이번 주, 소중한 사람과 함께한 기억을 한 줄로 적어볼까요?",관계,2,3,0,3,0,2,2,1,1,1,r,0,0.18205416678056546,0.11757056445116976,0.271041751849777,0.9999034507856317
728,"나쁜 연애를 지속하는 삶과 평생 혼자 지내는 삶 중, 어떤 쪽이 더 낫다고 생각하시나요?",사랑,2,3,0,3,0,0,0,2,2,1,c,0,0.5526375858843827,0.4383083447585613,0.6616592515147872,0.2685767490154192
4,카페에서 항상 고르는 메뉴는 무엇인가요?,취향,1,9,7,2,0,0,1,1,1,1,p,0,0.6497982289852848,0.551887583991113,0.736528862639915,0.024777268777708673
307,인생 드라마는 무엇인가요?,취향,1,9,5,2,2,0,1,1,1,1,p,0,0.6381131960096809,0.5381847074123904,0.7273723621238734,0.03707403542949261
30,가장 좋아하는 영화 장르는 무엇인가요?,취향,1,8,4,2,2,0,0,1,1,1,p,0,0.6280945711598037,0.5318071234440228,0.7151850730075466,0.04225446924941434
40,수집하고 싶은 물건이 있다면 무엇인가요?,취향,2,8,5,2,1,0,1,1,1,1,p,0,0.6077175502589625,0.5047634398121672,0.701908354221837,0.08532539727329719
20,"좋아하는 향이 있다면, 어떤 향인가요?",취향,2,7,5,2,0,0,1,1,1,1,p,0,0.6077175502421727,0.5047634398188103,0.7019083541868049,0.08532539725740179
41,10년 뒤에는 어떤 분위기의 사람이고 싶나요?,취향,2,7,3,2,2,0,0,2,1,2,h,0,0.475958519119919,0.36462426023204025,0.5897347277491991,0.5952704982676794
310,최애 잠옷은 무엇인가요?,취향,2,7,5,2,0,0,0,1,1,1,p,0,0.603873723639249,0.5056560262202375,0.6943719797282454,0.08288144360872379
317,노래방에 가면 꼭 부르는 노래는 무엇인가요?,취향,1,7,5,2,0,0,1,1,1,1,p,0,0.6381131959231964,0.5381847070084422,0.7273723622976342,0.03707403596020096
334,이번 주 가장 꽂혔던 키워드는 뭐였나요?,취향,2,7,3,2,2,2,1,1,1,1,r,0,0.41103303891706783,0.30332576433924185,0.5280000705433365,0.8290109043865798
371,지금 내 마음의 색깔을 고른다면 어떤 색인가요?,감정,2,7,5,2,0,1,0,1,1,1,t,1,0.5889001942457327,0.4639353246967926,0.7033603104589815,0.17382354397947936
393,"감정을 정리한 뒤에 대화하는 편인가요, 대화하면서 정리하는 편인가요?",감정,2,7,5,2,0,0,0,1,1,1,c,0,0.6054999227347065,0.5088789307601179,0.6945229897978333,0.07641250124166535
760,인간관계 없는 숲속의 고요함과 소란한 도시의 삶 중 뭐가 더 편안한가요?,가치관,2,7,4,2,1,0,0,1,1,1,c,0,0.5796859414222426,0.48657529636673286,0.667451340604018,0.12885558055857488
12,혼자 시간을 보낼 때 찾는 장소는 어디인가요?,취향,2,6,4,2,0,0,0,1,1,1,t,0,0.5617749376299754,0.4691638670277679,0.6502728205569333,0.18674434819435437
39,가장 좋아하는 계절의 풍경은 무엇인가요?,취향,2,6,3,2,1,0,0,1,1,1,p,0,0.5896467637819341,0.48962616906495626,0.6827658656705112,0.11875506518617468
302,평생 한 가지 음식만 먹을 수 있다면 뭘 고르겠어요?,취향,2,6,4,2,0,0,0,1,1,1,h,0,0.5661219579892959,0.45705062606152785,0.669143547390782,0.20988482890087123
306,최근 산 것 중 가장 만족스러운 건 무엇인가요?,취향,2,6,1,2,3,1,1,1,1,1,r,0,0.4739727785100328,0.3580758419864769,0.5927436577853707,0.5995341820783986
345,최근 나에게 고생했다고 토닥여주고 싶은 날은 언제였나요?,감정,2,6,4,2,0,1,1,1,2,2,r,0,0.5898858949642481,0.4663711470033777,0.7030170016356844,0.168422223579267
381,가장 소중한 기억은 무엇인가요?,감정,2,6,3,2,1,0,0,1,1,2,r,0,0.5653989767921291,0.46082734713449536,0.6644567239217524,0.20250564650470582
