질문 ID,질문 문구,관심사,레벨,상태,노출,답변,교체,미응답,답변율(%),교체율(%),예측 답변율(문구 모델),추정 답변율(축소),추정 하한(10%),추정 상한(90%),P(평균 미만),P(평균 미만|데이터만),위험 특성,분류,양자택일형,경험 전제형(~있다면/~적 있),가정·상상형(~한다면),정의·개념형,복문(쉼표·두 질문),오늘 기반,최근·이번 주 회상,요즘(현재 상태),과거 기억 회상,미래·상상,부정·무거운 감정,연애 대상 전제,특정 활동 전제,자기 수용·칭찬,문구 길이,수정 방향(패턴),원인 진단,수정 원칙,수정안 1 (권장),수정안 2 (대안)
360,오늘 하루 중 가장 단골손님처럼 찾아온 감정은 무엇인가요?,감정,2,ACTIVE,5,1,3,1,20.0,60.0,0.316174660574565,0.3018237983321229,0.2121574772360329,0.39583186377746105,0.9753593942840127,0.7227036943188239,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,32,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + 은유('단골손님처럼') 해석 부담,시점 중립화 + 직설,요즘 가장 자주 느끼는 감정은 무엇인가요?,요즘 내 마음에 가장 오래 머무는 감정은 무엇인가요?
110,"하루를 시작할 때 듣는 음악 장르가 있다면, 어떤 장르인가요?",루틴,2,ACTIVE,5,1,4,0,20.0,80.0,0.31710204657176094,0.30263662588236057,0.21288890772254795,0.3967083006799261,0.9747166846900999,0.7227036943188239,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,True,False,34,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,아침 음악 습관 전제 + 쉼표 복문,전제 제거 + 짧게,아침에 가장 먼저 하는 일은 무엇인가요?,하루를 기분 좋게 시작하게 해주는 것은 무엇인가요?
354,오늘 하루 감정 그래프를 그리면 어떤 모양일까요?,감정,2,ACTIVE,3,0,3,0,0.0,100.0,0.3253253435975607,0.29995986279769443,0.20828174630789656,0.396256518433956,0.974008165006638,0.7497047243297865,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,27,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 하루가 진행 중이면 그래프를 그릴 수 없음 + 시각화 요구 부담,시점 이동 + 단순화,요즘 내 기분을 날씨로 표현하면 어떤 날씨인가요?,이번 주 내 기분을 한 단어로 표현하면 무엇인가요?
337,오늘 온전한 휴식시간을 보냈나요?,취향,2,ACTIVE,12,4,7,1,33.3,58.3,0.3163130614875486,0.3206150440283349,0.23593840656171067,0.4086256475345845,0.9678602238849701,0.7141210828780447,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,18,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",예/아니오 닫힌 질문 + 오늘 쉬지 못한 사람은 할 말이 없음,열린 질문 + 성향형,나에게 진짜 휴식은 어떤 모습인가요?,쉬는 날 가장 하고 싶은 일은 무엇인가요?
365,오늘 나를 가장 진 빠지게 만든 감정은 무엇인가요?,감정,2,ACTIVE,10,3,6,1,30.0,60.0,0.32348422293889645,0.31832019308491316,0.2320572864328755,0.40811274325465674,0.9674551751551553,0.735526361410297,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,28,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + 부정 감정을 곱씹게 함,시점 중립화,나를 가장 쉽게 지치게 만드는 것은 무엇인가요?,에너지가 빨리 닳는 상황은 주로 어떤 때인가요?
332,오늘 먹은 것 중 기분까지 완벽하게 충전해준 메뉴는 무엇인가요?,취향,1,ACTIVE,10,3,7,0,30.0,70.0,0.3251870365803345,0.3196485689387763,0.2332723068852139,0.40952868692347144,0.9660562056868499,0.735526361410297,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,35,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + 식사 전 노출 시 답 불가 (레벨1이지만 낮음),최애형 전환,기분까지 충전해주는 나만의 소울푸드는 무엇인가요?,지친 날 가장 먹고 싶은 음식은 무엇인가요?
38,"전시회에서 작품을 보는 나만의 방식이 있다면, 어떤 건가요?",취향,2,ACTIVE,4,0,4,0,0.0,100.0,0.34629590024726303,0.3112071242119054,0.2195265288210837,0.407132569599819,0.9654092158152261,0.8080266359011785,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,True,False,33,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,전시회 관람 경험 전제 (특정 활동),대상 확장,좋아하는 것을 감상할 때 나는 어떻게 즐기나요? 전시·영화·음악 무엇이든 좋아요.,"좋아하는 것을 즐길 때 혼자가 좋나요, 함께가 좋나요?"
519,나의 말이나 행동이 타인에게 기분 좋은 울림을 줬나요?,관계,2,ACTIVE,3,0,2,1,0.0,66.7,0.34171641593084423,0.3150729300854398,0.22187946749485604,0.4125363754219067,0.9594263126771969,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,,예/아니오 닫힌 질문 + 타인 반응을 알아야 답할 수 있음,자기 관찰형으로 전환,내가 누군가에게 힘이 되었다고 느낀 순간은 언제인가요?,주변 사람들이 나에게 자주 고마워하는 것은 무엇인가요?
170,나를 가장 잘 이해한다고 느끼는 사람은 누구인가요?,관계,2,ACTIVE,3,0,3,0,0.0,100.0,0.3455057632184828,0.318566823551972,0.22504053553103587,0.41628249807542866,0.9552677371158285,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,,특정 인물 지목 (관계 카테고리 '누구' 질문 답변율 28%),인물 대신 특성 묻기,나를 잘 이해해주는 사람들은 어떤 공통점을 가졌나요?,누군가 나를 이해해준다고 느끼는 순간은 언제인가요?
369,오늘 내가 필사적으로 피하고 싶었던 감정은 무엇인가요?,감정,2,ACTIVE,9,3,6,0,33.3,66.7,0.32592963197583397,0.3274277994739143,0.2394630663809491,0.418823112744317,0.9551511175613534,0.6748989594533226,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,True,False,False,False,False,False,30,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + '필사적으로' 과한 강도 표현,시점 중립화 + 강도 완화,가장 마주하기 싫은 감정은 무엇인가요?,피하고 싶은 감정이 들 때 나는 주로 어떻게 하나요?
192,사람들에게 듣고 싶은 진심 어린 말은 무엇인가요?,관계,2,ACTIVE,3,0,3,0,0.0,100.0,0.3474078568322559,0.32032061172324205,0.22662969146446502,0.41816046049112177,0.953057326023442,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,,추상적 + 타인에게 기대하는 말을 떠올리기 어려움,구체화 (시점 없는 성향형 우선),들으면 힘이 나는 말은 무엇인가요?,요즘 누군가에게 가장 듣고 싶은 말은 무엇인가요?
542,남이 말해줘서 알게 된 나의 특징은 무엇인가요?,관계,2,ACTIVE,3,0,2,1,0.0,66.7,0.34931483312164086,0.32207890186995125,0.22822454890012878,0.4200416201572484,0.9507560953977067,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26,,타인 피드백 경험 전제,자기 관찰형으로 전환,사람들이 나에 대해 자주 하는 말은 무엇인가요?,나의 첫인상과 실제 모습은 어떻게 다른가요?
67,최근에 질투를 느꼈던 순간이 있다면 어떤 상황이었나요?,감정,2,ACTIVE,5,1,4,0,20.0,80.0,0.34374073477584727,0.32598468131983904,0.23404712358529542,0.42173512967156485,0.9495762078888252,0.7227036943188239,"경험 전제형(~있다면/~적 있), 최근·이번 주 회상",A. 교체·재작성 우선,False,True,False,False,False,False,True,False,False,False,True,False,False,False,30,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 기간 제한 제거('최근'→'지금까지/평소'),최근 + 경험 전제 + 부정 감정 노출 부담,성향형으로 전환,나는 주로 어떤 상황에서 질투를 느끼나요?,질투가 날 때 나는 어떻게 반응하는 편인가요?
36,"나만의 특별한 요리 레시피가 있다면, 어떤 건가요?",취향,2,ACTIVE,8,2,4,2,25.0,50.0,0.35586467911850284,0.33638480881091115,0.24671868189643534,0.4293807913062082,0.939973277717243,0.7582389150991632,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,True,False,28,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,요리 습관 전제 (특정 활동),대상 확장 + 최애형,자신 있게 만들 수 있는 음식이 있나요? 없다면 가장 좋아하는 음식을 알려주세요.,나만 아는 맛있는 조합이 있나요? 라면 레시피도 좋아요.
315,"나만의 공부 스타일이 있다면, 어떤 건가요?",취향,2,ACTIVE,8,2,6,0,25.0,75.0,0.36360392707897,0.34269997890325915,0.2525431938271813,0.43605817019481224,0.9288788578738661,0.7582389150991632,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,True,False,24,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,공부 습관 전제 (특정 활동),대상 확장,새로운 걸 배울 때 나에게 맞는 방식은 무엇인가요?,"혼자 익히는 편인가요, 누군가에게 배우는 편인가요?"
43,딱 한 권만 남길 수 있다면 어떤 책인가요?,취향,2,ACTIVE,5,0,5,0,0.0,100.0,0.3881555092518849,0.34020730596582077,0.24707162860886453,0.4368444537527181,0.926597032933688,0.8552045679155079,특정 활동 전제,A. 교체·재작성 우선,False,False,True,False,False,False,False,False,False,False,False,False,True,False,24,대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,독서 습관 전제 + '딱 한 권' 결정 부담,대상 확장(책 → 콘텐츠),딱 하나만 평생 다시 볼 수 있다면 어떤 책·영화·드라마를 고를까요?,인생 책이나 인생 영화가 있다면 무엇인가요? 없다면 가장 최근에 본 것을 알려주세요.
450,"집중이 안 될 때 나를 다시 잡아주는 나만의 방법이 있다면, 어떤 건가요?",루틴,2,ACTIVE,3,0,3,0,0.0,100.0,0.3669584449329458,0.33834684865715786,0.2430561820729357,0.43737052503095436,0.9250816732049318,0.7497047243297865,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,41,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,'나만의 방법'이 있어야 답할 수 있음,경험 전제 제거 + 선택지형,"집중이 안 될 때 잠깐 쉬는 편인가요, 억지로라도 버티는 편인가요?",집중이 안 될 때 가장 먼저 하는 행동은 무엇인가요?
63,"내일 일어날 일 중 설레는 게 있다면, 어떤 건가요?",감정,2,ACTIVE,7,1,5,1,14.3,71.4,0.3903859533905139,0.34959398864290303,0.2578926399484062,0.4444309511543014,0.9126708250485839,0.831939945008278,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,True,False,False,False,False,29,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,'내일 설레는 일'이 없으면 교체 + 경험 전제,범위 확대 (시점 없는 성향형 우선),다가오는 일 중 가장 기대되는 것은 무엇인가요?,요즘 기다려지는 일은 무엇인가요?
56,오늘 나를 기운 나게 한 말은 무엇인가요?,감정,1,ACTIVE,5,1,4,0,20.0,80.0,0.37466387830280834,0.3530879404532163,0.25895245793041965,0.4504428032404641,0.8997138887126868,0.7227036943188239,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,23,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + 들은 말이 없으면 답 불가,시점 중립화,들으면 기운이 나는 말은 무엇인가요?,힘들 때 떠올리는 말이나 문장이 있나요?
138,"새로운 취미를 시작할 때 거치는 과정이 있다면, 어떤 건가요?",루틴,2,ACTIVE,3,0,3,0,0.0,100.0,0.380722340298784,0.35103757886539483,0.2547191791798636,0.45079610495185896,0.8989576322053626,0.7497047243297865,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,34,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,취미 시작 경험 전제 + '과정' 추상적,선택지형으로 쉽게,"새로운 걸 시작할 때 일단 해보는 편인가요, 충분히 알아보고 시작하는 편인가요?",요즘 새로 해보고 싶은 것은 무엇인가요?
191,나를 가장 힘들게 했던 인연은 누구였나요?,관계,2,ACTIVE,3,0,3,0,0.0,100.0,0.38375044673754904,0.3538295851132461,0.2572957393254243,0.4537391150172735,0.8924306240854774,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,True,False,False,False,23,,부정적 특정 인물 지목 → 방어적 회피,인물 → 관계 유형,나를 지치게 하는 관계는 어떤 모습인가요?,관계에서 가장 힘든 순간은 언제인가요?
119,"내가 지키는 습관 중 남들에게 추천하고 싶은 게 있다면, 어떤 건가요?",루틴,2,ACTIVE,4,1,3,0,25.0,75.0,0.3708700051307824,0.358622731812218,0.2629267020042802,0.45749817552409355,0.8834278042695134,0.6528055841951683,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,39,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,'지키는 습관'이 있어야 함 + 추천이라는 이중 요구,조건 하나로 축소,꾸준히 이어가고 있는 습관은 무엇인가요? 작은 것도 좋아요.,갖고 싶은 습관 하나를 고른다면 무엇인가요?
167,나랑 유머 코드가 가장 잘 맞는 사람은 누구인가요?,관계,1,ACTIVE,3,0,3,0,0.0,100.0,0.38809878842024575,0.3578388884159508,0.2610022985836508,0.4579586196191824,0.8825475778460012,0.7497047243297865,,A. 교체·재작성 우선,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,,특정 인물 지목 (관계 카테고리),인물 → 특성,나와 유머 코드가 잘 맞는 사람은 어떤 사람인가요?,나를 가장 크게 웃게 만드는 건 어떤 유머인가요?
632,문득 나 자신이 어른스러워졌다고 느낀 최근의 순간은 언제인가요?,가치관,2,ACTIVE,5,1,3,1,20.0,60.0,0.38357054756950865,0.3608943837063155,0.2661914384199694,0.458645723547029,0.8803425499926693,0.7227036943188239,최근·이번 주 회상,A. 교체·재작성 우선,False,False,False,False,False,False,True,False,False,False,False,False,False,False,35,기간 제한 제거('최근'→'지금까지/평소'),최근 + 경험 전제 + 문장 길이,시점 제거 + 짧게,어른이 되었다고 느끼는 순간은 언제인가요?,어른이 되어서 좋은 점은 무엇인가요?
50,"예전엔 좋아했는데 지금은 아닌 취향이 있다면, 어떤 건가요?",취향,2,ACTIVE,5,0,4,1,0.0,80.0,0.41223763062134017,0.36131460300981993,0.2665819236403231,0.45908647237202105,0.8792312949894417,0.8552045679155079,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,33,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,취향 변화 경험 전제,선택지형 대안 제공,예전과 비교해 가장 많이 바뀐 내 취향은 무엇인가요?,변하지 않고 오래 좋아한 것은 무엇인가요?
605,"괜찮지 않은데 '괜찮아'라고 넘긴 적이 있다면, 어떤 순간이었나요?",가치관,2,ACTIVE,4,1,2,1,25.0,50.0,0.3732283247909165,0.3607420923904942,0.26489238100904733,0.4597235786311321,0.8779179654589064,0.6528055841951683,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,True,True,False,False,False,False,False,False,False,False,False,37,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,경험 전제 + 부정 감정 노출 부담,성향형으로 전환,괜찮지 않을 때도 '괜찮아'라고 말하는 편인가요?,속마음을 털어놓기 어려운 순간은 언제인가요?
471,"나만의 작은 성취를 기록하는 방식이 있다면, 어떤 건가요?",루틴,2,ACTIVE,5,1,4,0,20.0,80.0,0.38469145861756887,0.3618768304803492,0.26710449782061363,0.4596760379307386,0.8777334311766828,0.7227036943188239,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,32,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,기록 습관 전제,전제 제거 + 성향형,작은 성취를 느낄 때 나는 어떻게 스스로를 챙기나요?,스스로 뿌듯함을 느끼는 순간은 언제인가요?
