질문 ID,원인 진단,수정 원칙,수정안 1 (권장),수정안 2 (대안),분류,추정 답변율(축소),조치 유형,수정안 잔여 위험,예측(기존 문구),예측(수정안),예측 변화(%p)
325,시 읽는 습관 전제 (특정 활동),대상 확장,마음에 오래 남은 문장은 무엇인가요? 책·노래·대사 무엇이든 좋아요.,좋아하는 노래 가사 한 줄은 무엇인가요?,A. 교체·재작성 우선,0.288656083521161,재작성,특정 활동 전제,0.30953403158121795,0.39492445560833245,8.53904240271145
110,아침 음악 습관 전제 + 쉼표 복문,전제 제거 + 짧게,아침에 가장 먼저 하는 일은 무엇인가요?,하루를 기분 좋게 시작하게 해주는 것은 무엇인가요?,A. 교체·재작성 우선,0.3071304538064635,재작성,,0.32240953912860465,0.46752652989224336,14.511699076363872
356,오늘 + '있다면' 전제. 레벨1인데도 장벽 높음,최근으로 넓히고 전제 제거,요즘 나를 웃게 만드는 작은 행복은 무엇인가요?,최근에 기분이 좋아졌던 사소한 순간은 언제인가요?,A. 교체·재작성 우선,0.297641139054173,재작성,,0.29153257818451495,0.47892411564431103,18.739153745979607
354,오늘 하루가 진행 중이면 그래프를 그릴 수 없음 + 시각화 요구 부담,시점 이동 + 단순화,요즘 내 기분을 날씨로 표현하면 어떤 날씨인가요?,이번 주 내 기분을 한 단어로 표현하면 무엇인가요?,A. 교체·재작성 우선,0.2997488004478061,재작성,,0.32539913983043556,0.43010800771958985,10.47088678891543
360,오늘 + 은유('단골손님처럼') 해석 부담,시점 중립화 + 직설,요즘 가장 자주 느끼는 감정은 무엇인가요?,요즘 내 마음에 가장 오래 머무는 감정은 무엇인가요?,A. 교체·재작성 우선,0.301463561240223,재작성,,0.3159344269389561,0.4386481856496518,12.271375871069568
337,예/아니오 닫힌 질문 + 오늘 쉬지 못한 사람은 할 말이 없음,열린 질문 + 성향형,나에게 진짜 휴식은 어떤 모습인가요?,쉬는 날 가장 하고 싶은 일은 무엇인가요?,A. 교체·재작성 우선,0.3176550542968428,재작성,,0.31228851834913257,0.4966164625029355,18.432794415380293
365,오늘 + 부정 감정을 곱씹게 함,시점 중립화,나를 가장 쉽게 지치게 만드는 것은 무엇인가요?,에너지가 빨리 닳는 상황은 주로 어떤 때인가요?,A. 교체·재작성 우선,0.3182801600234828,재작성,,0.3234944406463533,0.518219220235039,19.472477958868566
38,전시회 관람 경험 전제 (특정 활동),대상 확장,좋아하는 것을 감상할 때 나는 어떻게 즐기나요? 전시·영화·음악 무엇이든 좋아요.,"좋아하는 것을 즐길 때 혼자가 좋나요, 함께가 좋나요?",A. 교체·재작성 우선,0.3109312341330246,재작성,특정 활동 전제,0.34640756928769184,0.38048516623222794,3.4077596944536106
332,오늘 + 식사 전 노출 시 답 불가 (레벨1이지만 낮음),최애형 전환,기분까지 충전해주는 나만의 소울푸드는 무엇인가요?,지친 날 가장 먹고 싶은 음식은 무엇인가요?,A. 교체·재작성 우선,0.3164026659826928,재작성,,0.32108140529827345,0.5284696477456722,20.738824244739874
519,예/아니오 닫힌 질문 + 타인 반응을 알아야 답할 수 있음,자기 관찰형으로 전환,내가 누군가에게 힘이 되었다고 느낀 순간은 언제인가요?,주변 사람들이 나에게 자주 고마워하는 것은 무엇인가요?,A. 교체·재작성 우선,0.3147423804710743,재작성,,0.34167576223980467,0.34167576223980467,0.0
369,오늘 + '필사적으로' 과한 강도 표현,시점 중립화 + 강도 완화,가장 마주하기 싫은 감정은 무엇인가요?,피하고 싶은 감정이 들 때 나는 주로 어떻게 하나요?,A. 교체·재작성 우선,0.3256665860106577,재작성,,0.32369839127065836,0.529057125428401,20.535873415774265
170,특정 인물 지목 (관계 카테고리 '누구' 질문 답변율 28%),인물 대신 특성 묻기,나를 잘 이해해주는 사람들은 어떤 공통점을 가졌나요?,누군가 나를 이해해준다고 느끼는 순간은 언제인가요?,A. 교체·재작성 우선,0.3183534436629857,재작성,,0.3455958341625809,0.3436331348384271,-0.19626993241537716
192,추상적 + 타인에게 기대하는 말을 떠올리기 어려움,구체화 (시점 없는 성향형 우선),들으면 힘이 나는 말은 무엇인가요?,요즘 누군가에게 가장 듣고 싶은 말은 무엇인가요?,A. 교체·재작성 우선,0.3201662870227304,재작성,,0.34756380757574207,0.3634909223918206,1.5927114816078558
331,SNS 사용 전제 + 두 질문 연결(복문),단일 질문 + 전제 제거,기록으로 남기고 싶은 순간은 주로 어떤 때인가요?,사진으로 가장 많이 남기는 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.3874285530934813,재작성,,0.4141598582711318,0.48141731584320374,6.725745757207196
542,타인 피드백 경험 전제,자기 관찰형으로 전환,사람들이 나에 대해 자주 하는 말은 무엇인가요?,나의 첫인상과 실제 모습은 어떻게 다른가요?,A. 교체·재작성 우선,0.3219839396130978,재작성,,0.3495370017587798,0.3495370017587798,0.0
36,요리 습관 전제 (특정 활동),대상 확장 + 최애형,자신 있게 만들 수 있는 음식이 있나요? 없다면 가장 좋아하는 음식을 알려주세요.,나만 아는 맛있는 조합이 있나요? 라면 레시피도 좋아요.,A. 교체·재작성 우선,0.3365577230022192,재작성,경험 전제형(~있다면/~적 있),0.35630968391417983,0.3066868642397321,-4.9622819674447705
49,메타 상상(나에 대한 책) + 제목 짓기 창작 부담,창작 부담 완화,지금의 나를 한 단어로 표현한다면 무엇일까요?,내 인생을 영화 장르로 표현한다면 어떤 장르일까요?,A. 교체·재작성 우선,0.3748860540838862,재작성,,0.392690965874789,0.4552917316441199,6.260076576933088
67,최근 + 경험 전제 + 부정 감정 노출 부담,성향형으로 전환,나는 주로 어떤 상황에서 질투를 느끼나요?,질투가 날 때 나는 어떻게 반응하는 편인가요?,A. 교체·재작성 우선,0.323733601988213,재작성,,0.34138065000136814,0.555627841267754,21.424719126638585
315,공부 습관 전제 (특정 활동),대상 확장,새로운 걸 배울 때 나에게 맞는 방식은 무엇인가요?,"혼자 익히는 편인가요, 누군가에게 배우는 편인가요?",A. 교체·재작성 우선,0.34308080066641,재작성,,0.36432128935590324,0.47924815804137383,11.49268686854706
357,경험 전제 + 앞부분 조건이 김,성향형으로 전환 + 짧게,기분이 처질 때 나를 살려내는 것은 무엇인가요?,기분 전환이 필요할 때 가장 먼저 찾는 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.3949118512019133,재작성,,0.4339750029945717,0.518219220235039,8.424421724046727
798,여행·커리어 양쪽 전제 + 가정 조건이 앞에 붙어 복잡,조건 제거 + 일반화,지금 하고 싶은 일과 해야 하는 일 중 무엇을 먼저 하나요?,한 달의 자유 시간이 생긴다면 여행과 자기계발 중 무엇을 고를까요?,B. 패턴 기반 수정 권장,0.4034645295982933,재작성,,0.44949864037188497,0.4754735893616088,2.5974948989723803
63,'내일 설레는 일'이 없으면 교체 + 경험 전제,범위 확대 (시점 없는 성향형 우선),다가오는 일 중 가장 기대되는 것은 무엇인가요?,요즘 기다려지는 일은 무엇인가요?,A. 교체·재작성 우선,0.3496948780963442,재작성,,0.39099413343576794,0.518219220235039,12.722508679927103
191,부정적 특정 인물 지목 → 방어적 회피,인물 → 관계 유형,나를 지치게 하는 관계는 어떤 모습인가요?,관계에서 가장 힘든 순간은 언제인가요?,A. 교체·재작성 우선,0.3541785425487426,재작성,,0.384486586500372,0.3554873655829014,-2.899922091747059
56,오늘 + 들은 말이 없으면 답 불가,시점 중립화,들으면 기운이 나는 말은 무엇인가요?,힘들 때 떠올리는 말이나 문장이 있나요?,A. 교체·재작성 우선,0.3541590695337684,재작성,,0.3761454374888925,0.5777189921792324,20.157355469033988
138,취미 시작 경험 전제 + '과정' 추상적,선택지형으로 쉽게,"새로운 걸 시작할 때 일단 해보는 편인가요, 충분히 알아보고 시작하는 편인가요?",요즘 새로 해보고 싶은 것은 무엇인가요?,A. 교체·재작성 우선,0.350812185311982,재작성,,0.3808321607026127,0.47243353043655584,9.160136973394312
167,특정 인물 지목 (관계 카테고리),인물 → 특성,나와 유머 코드가 잘 맞는 사람은 어떤 사람인가요?,나를 가장 크게 웃게 만드는 건 어떤 유머인가요?,A. 교체·재작성 우선,0.3586491688081194,재작성,,0.3893397766953996,0.3893397766953996,0.0
632,최근 + 경험 전제 + 문장 길이,시점 제거 + 짧게,어른이 되었다고 느끼는 순간은 언제인가요?,어른이 되어서 좋은 점은 무엇인가요?,A. 교체·재작성 우선,0.3609974603605348,재작성,,0.3839591285519211,0.4971791448747344,11.322001632281331
306,최근 구매가 없으면 답 불가,범위 확대,지금까지 산 것 중 가장 만족스러운 건 무엇인가요?,돈이 아깝지 않았던 물건은 무엇인가요?,A. 교체·재작성 우선,0.3623377678288302,재작성,,0.3958260096145133,0.47924815804137383,8.342214842686053
471,기록 습관 전제,전제 제거 + 성향형,작은 성취를 느낄 때 나는 어떻게 스스로를 챙기나요?,스스로 뿌듯함을 느끼는 순간은 언제인가요?,A. 교체·재작성 우선,0.3618548432063223,재작성,,0.3849387924596201,0.4524175242514824,6.747873179186231
119,'지키는 습관'이 있어야 함 + 추천이라는 이중 요구,조건 하나로 축소,꾸준히 이어가고 있는 습관은 무엇인가요? 작은 것도 좋아요.,갖고 싶은 습관 하나를 고른다면 무엇인가요?,A. 교체·재작성 우선,0.3582858619760313,재작성,,0.370640958892188,0.4438212183340813,7.318025944189327
605,경험 전제 + 부정 감정 노출 부담,성향형으로 전환,괜찮지 않을 때도 '괜찮아'라고 말하는 편인가요?,속마음을 털어놓기 어려운 순간은 언제인가요?,A. 교체·재작성 우선,0.358971225675887,재작성,,0.37140452056526024,0.4532282331812492,8.182371261598897
129,기념일 의례 전제,전제 제거 + 최애형,가장 좋아하는 기념일은 무엇인가요?,특별한 날을 보내는 나만의 방식은 무엇인가요?,A. 교체·재작성 우선,0.3672727717235159,재작성,,0.3911294330221955,0.47402173672933007,8.289230370713458
50,취향 변화 경험 전제,선택지형 대안 제공,예전과 비교해 가장 많이 바뀐 내 취향은 무엇인가요?,변하지 않고 오래 좋아한 것은 무엇인가요?,A. 교체·재작성 우선,0.3471554187415029,재작성,,0.40656953013034164,0.4770797824453547,7.051025231501306
453,경험 전제 + 원인 분석까지 요구(이중 질문),질문 하나로 축소,마음 편히 쉬기 어려울 때는 언제인가요?,쉬면서도 마음이 편하려면 무엇이 필요한가요?,A. 교체·재작성 우선,0.368569431292753,재작성,,0.40010894365976907,0.46752652989224336,6.74175862324743
60,'지금 당장 하고 싶은 말'이 없으면 교체 + 대상 불명확,대상 명시,지금 누군가에게 전하고 싶은 말은 무엇인가요?,지금의 나에게 해주고 싶은 말은 무엇인가요?,A. 교체·재작성 우선,0.3621197232681444,재작성,,0.40589984532518886,0.5203885011080452,11.448865578285638
93,존재론적 무게 + 경험 전제 → 즉시 답하기 부담,강도 완화 + 구체화,살아있길 잘했다 싶은 작은 순간은 언제인가요?,나를 살아있다고 느끼게 하는 것은 무엇인가요?,A. 교체·재작성 우선,0.3687343506768441,재작성,,0.4318416006325712,0.5203885011080452,8.854690047547404
419,'꼭 하는 일' 전제 (루틴이 없으면 답 불가),전제 제거,잠들기 전 주로 무엇을 하나요?,잠들기 전 가장 좋아하는 시간은 어떤 시간인가요?,A. 교체·재작성 우선,0.3803981704813278,재작성,,0.3952762164661576,0.47835690072999865,8.308068426384102
386,힘든 일이 없으면 답 불가 + 즉시 무거운 고백 요구,성향형 전환 + 강도 완화 (시점 없는 성향형 우선),힘든 일이 생기면 나는 주로 어떻게 버티나요?,요즘 마음을 무겁게 하는 것이 있다면 무엇인가요? 없다면 요즘 마음이 가벼운 이유를 알려주세요.,A. 교체·재작성 우선,0.3709394617466,재작성,,0.40589984532518886,0.5203885011080452,11.448865578285638
350,예/아니오 닫힌 질문 + 경험 전제,열린 성향형으로 전환,몸과 마음이 기분 좋게 늘어지는 순간은 언제인가요?,나를 가장 편안하게 풀어주는 시간은 언제인가요?,A. 교체·재작성 우선,0.3691515987548754,재작성,,0.40380599750590956,0.5138786790909895,11.007268158507994
252,'나만의 문장'이 없으면 답 불가,출구 제공,지칠 때 힘이 되는 말은 무엇인가요? 책·노래·누군가의 말 무엇이든 좋아요.,스스로에게 자주 하는 응원의 말은 무엇인가요?,B. 패턴 기반 수정 권장,0.4296879786214114,재작성,특정 활동 전제,0.4134202494645309,0.3933867780403098,-2.003347142422107
263,'나만의 마음가짐' 전제,전제 제거,매일 잊지 않으려는 마음가짐은 무엇인가요?,하루를 잘 보냈다고 느끼게 하는 기준은 무엇인가요?,B. 패턴 기반 수정 권장,0.4317384452403838,재작성,,0.41552920412926125,0.4971791448747344,8.164994074547316
280,두 질문 연결 + 균형을 스스로 진단해야 함,하나로 축소 + 선택지,요즘 내 일상은 일과 쉼 중 어느 쪽으로 기울어 있나요?,요즘 일상에서 더 늘리고 싶은 시간은 무엇인가요?,C. 유지·모니터링,0.4173070326740556,재작성,,0.4292104075431197,0.39497822056651394,-3.423218697660574
288,행동 전제 + 도덕적 부담(없으면 민망함),전제 제거 + 부담 완화,더 나은 세상을 위해 해보고 싶은 작은 일은 무엇인가요?,내가 지키려고 하는 작은 규칙이 있다면 무엇인가요? 분리수거도 좋아요.,B. 패턴 기반 수정 권장,0.3437682176650844,재작성,,0.36337968664377107,0.47980991884627605,11.643023220250498
291,'~다면'이 두 번 겹친 이중 조건,조건 하나로 축소,과거로 돌아가 딱 하나를 바꿀 수 있다면 무엇을 바꾸고 싶나요?,그때 다른 선택을 했다면 어땠을까 싶은 순간은 언제인가요?,B. 패턴 기반 수정 권장,0.3725566686690175,재작성,,0.3759131186750757,0.44080594931163486,6.489283063655915
300,'~있다면' 전제 (대부분 있으므로 경미),경미 수정: 전제 제거,인생에서 꼭 한 번은 경험하고 싶은 순간은 무엇인가요?,버킷리스트 1순위는 무엇인가요?,B. 패턴 기반 수정 권장,0.4194832894737703,경미 수정,,0.40292447909650325,0.48197926595915846,7.905478686265521
578,예/아니오 닫힌 질문,열린 질문 전환,나에게 좀 더 다정해지고 싶은 순간은 언제인가요?,스스로에게 가장 엄격해지는 순간은 언제인가요?,B. 패턴 기반 수정 권장,0.3690820786028325,재작성,,0.3796098722776982,0.48849105788757646,10.888118560987825
580,'~있다면' 전제 (대부분 있으므로 경미),경미 수정: 전제 제거,딱 하나 바꿀 수 있다면 바꾸고 싶은 나의 모습은 무엇인가요?,더 키우고 싶은 나의 모습은 무엇인가요?,B. 패턴 기반 수정 권장,0.428245426294143,경미 수정,,0.428245426294143,0.44294911132153625,1.4703685027393276
581,자기 약점 인정 요구 + 전제,성향형 전환,내 생각을 쉽게 굽히지 않는 주제는 무엇인가요?,"의견이 부딪힐 때 나는 끝까지 설득하는 편인가요, 한발 물러서는 편인가요?",B. 패턴 기반 수정 권장,0.3533020078319187,재작성,,0.36337968664377107,0.490662632924544,12.728294628077292
583,추상 개념(편안함-성장) + 경험 전제,선택지형,편안함과 성장 중 요즘의 나는 어느 쪽을 더 원하나요?,성장을 위해 불편함을 감수했던 적이 있나요? 없다면 감수하고 싶은 불편함을 알려주세요.,B. 패턴 기반 수정 권장,0.4371278839004835,재작성,,0.4050168611921311,0.39705677905262265,-0.796008213950844
584,'놓치고 있는 것'은 자각하기 어려움,구체화 (시점 없는 성향형 우선),여유가 생기면 가장 먼저 챙기고 싶은 것은 무엇인가요?,요즘 너무 바빠서 미뤄두고 있는 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.4008031396928324,재작성,,0.38371149184089376,0.48197926595915846,9.82677741182647
588,예/아니오로 끝남 + 인용문 포함 길이,열린 질문 + 짧게,과거의 나에게 '괜찮아'라고 말해주고 싶은 순간은 언제인가요?,과거의 나에게 한마디 할 수 있다면 무슨 말을 하고 싶나요?,B. 패턴 기반 수정 권장,0.3437175979264885,재작성,,0.3633261791238674,0.4382010364629649,7.4874857339097485
589,예/아니오 닫힌 질문,열린 질문 전환,과거로 돌아갈 수 있다면 언제로 돌아가고 싶나요?,다시 한번 살아보고 싶은 시절은 언제인가요?,B. 패턴 기반 수정 권장,0.4228220557730185,재작성,,0.3898949067035912,0.4580063900930309,6.811148338943967
590,아물지 않은 상처 고백 요구 (무게 과다),강도 완화 + 회복 관점,시간이 지나 괜찮아진 일 중 기억에 남는 것은 무엇인가요?,마음의 상처가 회복될 때 나에게 가장 도움이 되는 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.4253325207363307,재작성,,0.4374648167244575,0.4822119133610099,4.474709663655241
591,부정 기억 소환 + 전제,종류만 묻도록 부담 완화,잊고 싶은 기억이 생기면 나는 주로 어떻게 하나요?,오래 간직하고 싶은 기억은 어떤 종류인가요?,B. 패턴 기반 수정 권장,0.416590649572611,재작성,,0.42847359014285263,0.4908954998010428,6.242190965819017
604,뉴스를 안 보면 답 불가 + 최근 제한,기간 제거 + 대상 확장 (시점 없는 성향형 우선),뉴스나 SNS에서 보면 꼭 클릭하게 되는 주제는 무엇인가요?,요즘 가장 관심 가는 세상 소식이나 이슈는 무엇인가요?,B. 패턴 기반 수정 권장,0.4154465973230093,재작성,특정 활동 전제,0.4154465973230093,0.4121977714225583,-0.32488259004510023
608,'결핍' 단어의 무게 + 전제,표현 완화 (시점 없는 성향형 우선),지금의 나에게 가장 필요한 것은 무엇인가요?,요즘 마음이 더 채워졌으면 하는 부분은 무엇인가요?,B. 패턴 기반 수정 권장,0.3649487755001426,재작성,,0.38576856401387777,0.4950067583795725,10.92381943656947
609,회피 인정 요구 + 맞춤법('있는게'),표현 완화 + 맞춤법 수정,자꾸 미루게 되는 일은 무엇인가요?,마주하기 싫어서 잠시 모른 척하고 있는 일이 있나요? 작은 것도 좋아요.,B. 패턴 기반 수정 권장,0.3919640449420132,재작성,,0.39196404494201326,0.5058689356597718,11.39048907177585
610,최근 + 전제 (관측 성과는 양호),경미 수정: 기간 제거,생각이 바뀐 주제 중 가장 기억에 남는 것은 무엇인가요?,예전과 지금 생각이 가장 달라진 주제는 무엇인가요?,B. 패턴 기반 수정 권장,0.362103519725195,경미 수정,,0.3360412033095179,0.48438200804192605,14.834080473240812
612,전제형이지만 대부분 답할 수 있음,경미 수정: 전제 제거,절대 바뀌지 않을 것 같은 내 생각은 무엇인가요?,어떤 일이 있어도 지키고 싶은 신념은 무엇인가요?,B. 패턴 기반 수정 권장,0.4220861285110487,경미 수정,,0.4176412572425721,0.48849105788757646,7.084980064500435
613,전제 + 문장 김,짧게,예전엔 중요했지만 지금은 아닌 것은 무엇인가요?,나이 들며 중요해진 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.3494022290567553,재작성,,0.3593686695595628,0.490662632924544,13.129396336498116
616,자존심 때문에 놓친 경험 전제,성향형 전환,"자존심 때문에 손해를 보는 편인가요, 자존심을 쉽게 굽히는 편인가요?",자존심보다 더 중요한 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.4461720533377168,재작성,,0.4303745202363893,0.5173046522706287,8.693013203423943
618,전제형,경미 수정,예전보다 조심스러워진 부분은 무엇인가요?,나이가 들며 더 대담해진 부분은 무엇인가요?,B. 패턴 기반 수정 권장,0.4122365316320989,경미 수정,,0.4239952742041954,0.49935163787736736,7.535636367317195
619,확신 붕괴 경험 전제 + 무게,성향형 전환,믿고 있던 게 흔들릴 때 나는 어떻게 하나요?,쉽게 흔들리지 않는 나의 믿음은 무엇인가요?,B. 패턴 기반 수정 권장,0.414301346012336,재작성,,0.42611898588948266,0.492834560402219,6.671557451273635
622,'과감히 덜어내기로 한 것'이 있어야 함,기간 제거 + 희망형,내 인생에서 덜어내고 싶은 것은 무엇인가요?,정리하고 나서 오히려 편해진 것은 무엇인가요?,C. 유지·모니터링,0.3840242135296581,재작성,,0.39497822056651394,0.4950067583795725,10.002853781305854
624,이번 주 + 의인화('주가 건네준 교훈'),기간 확장 + 쉬운 말,요즘 새삼 깨달은 것은 무엇인가요?,최근에 배운 작은 교훈은 무엇인가요?,B. 패턴 기반 수정 권장,0.4151284903636199,재작성,,0.39844546255834684,0.420151196540681,2.170573398233416
625,조건이 긴 문장 + 예/아니오,짧게 + 열린 질문,예전보다 덤덤해진 일은 무엇인가요?,예전엔 크게 흔들렸지만 지금은 괜찮은 일은 무엇인가요?,B. 패턴 기반 수정 권장,0.4378977484609929,재작성,,0.41832135521636243,0.5058689356597718,8.754758044340932
626,오늘 기반,시점 중립화,요즘 나를 움직이게 하는 가장 큰 동력은 무엇인가요?,아침에 나를 일어나게 하는 이유는 무엇인가요?,B. 패턴 기반 수정 권장,0.299848013874906,재작성,,0.299848013874906,0.39913905974329583,9.929104586838983
627,오늘 기반 + 하루가 끝나지 않으면 답 불가,시점 이동 + 저녁 노출,하루를 다시 산다면 무엇을 다르게 하고 싶나요? (저녁 노출 권장),다시 살아보고 싶은 하루는 언제인가요?,B. 패턴 기반 수정 권장,0.2782881840808968,노출 시간 조정 + 재작성,,0.27828818408089684,0.4365263138414217,15.823812976052487
628,오늘 기반 + 문장 김,시점 중립화,누구 눈치도 보지 않고 내 마음대로 정하고 싶은 것은 무엇인가요?,남의 시선보다 내 마음을 따르는 편인가요?,B. 패턴 기반 수정 권장,0.2741083531256124,재작성,,0.2819270914322453,0.46897622656877946,18.704913513653416
629,전제형,경미 수정,예전엔 당연했는데 지금은 다르게 보이는 것은 무엇인가요?,어른이 되어 생각이 바뀐 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.3917500969419275,경미 수정,,0.40292447909650325,0.47980991884627605,7.68854397497728
633,오늘 + 원칙을 지켰다는 전제,시점 중립화 + 전제 제거,내가 꼭 지키려고 하는 원칙은 무엇인가요?,원칙과 융통성 중 나는 어느 쪽에 더 가깝나요?,B. 패턴 기반 수정 권장,0.3112615396133701,재작성,,0.3112615396133701,0.4971791448747344,18.59176052613643
636,이번 주 + '인생의 힌트' 추상적,기간 확장 + 구체화,요즘 나에게 도움이 된 말이나 조언은 무엇인가요?,요즘 새롭게 알게 된 것 중 가장 쓸모 있는 것은 무엇인가요?,B. 패턴 기반 수정 권장,0.3963644133674213,재작성,,0.3963644133674213,0.4033145119155089,0.6950098548087591
641,오늘 + 미래 추론까지 이중 부담,시점 중립화 + 단순화 (시점 없는 성향형 우선),10년 뒤 나에게 고마울 습관은 무엇일까요?,미래의 나를 위해 요즘 하고 있는 작은 일은 무엇인가요?,B. 패턴 기반 수정 권장,0.2672308302014193,재작성,,0.25395169292774933,0.39301927217917376,13.906757925142443
642,오늘 시련·실수 전제,시점 중립화 + 성향형,"실수에서 배우는 편인가요, 금방 잊는 편인가요?",실수하고 나서 나를 다독이는 방법은 무엇인가요?,B. 패턴 기반 수정 권장,0.3087349801322774,재작성,,0.2890171560337236,0.5432733054933483,25.425614945962472
643,이번 주 + 새로운 발견 전제,기간 확장 (시점 없는 성향형 우선),사람들이 잘 모르는 나의 반전 매력은 무엇인가요?,요즘 새롭게 발견한 나의 의외의 면은 무엇인가요?,B. 패턴 기반 수정 권장,0.4424565583525501,재작성,,0.43917379001386886,0.48849105788757646,4.93172678737076
645,전제형 (관측 성과 양호),경미 수정: 전제 제거,성장했다고 느낀 순간은 언제인가요?,예전의 나와 비교해 가장 성장한 부분은 무엇인가요?,B. 패턴 기반 수정 권장,0.447039531695803,경미 수정,,0.428245426294143,0.5058689356597718,7.7623509365628784
